experiment_id,electrolyte_concentration_m,charging_rate_c,operating_temperature_c,discharge_rate_c,cycle_count,capacity_retention_percent,source
BAT-00034,0.9435,2.7814,7.2675,1.0424,310.7649,41.0641,synthetic_prototype_v1
BAT-00035,0.5172,0.6497,39.5325,0.3377,257.2566,50.2597,synthetic_prototype_v1
BAT-00036,0.5432,0.2922,10.189,2.7321,271.0763,43.6172,synthetic_prototype_v1
BAT-00037,0.9088,2.9069,6.8235,2.6899,100.9194,40.1705,synthetic_prototype_v1
BAT-00038,1.9683,1.5698,46.1167,2.1413,392.1989,42.9955,synthetic_prototype_v1
BAT-00039,1.7124,1.738,39.6699,2.687,28.644,45.4348,synthetic_prototype_v1
BAT-00040,1.6412,0.8783,19.243,0.3581,111.7627,74.2407,synthetic_prototype_v1
BAT-00041,2.2451,1.6216,4.7579,0.323,71.9822,43.974,synthetic_prototype_v1
BAT-00042,2.3437,0.601,19.7883,0.2662,341.1712,49.2886,synthetic_prototype_v1
BAT-00043,1.6132,0.7538,29.1709,0.418,105.9363,71.6315,synthetic_prototype_v1
BAT-00044,1.623,0.3326,44.0694,0.9822,94.6401,41.2248,synthetic_prototype_v1
BAT-00045,1.8686,0.7982,18.6362,1.2517,84.2998,63.7926,synthetic_prototype_v1
BAT-00046,1.2654,0.5849,22.8902,1.012,83.5242,78.8678,synthetic_prototype_v1
BAT-00047,1.8859,2.7557,16.2465,1.2516,296.9601,40.9814,synthetic_prototype_v1
BAT-00048,1.9972,0.5786,41.4519,1.4433,52.564,47.4234,synthetic_prototype_v1
BAT-00049,2.3052,1.9999,14.0883,1.2141,393.2495,51.5438,synthetic_prototype_v1
BAT-00050,1.1528,0.2206,20.7318,1.083,184.4126,66.1869,synthetic_prototype_v1
BAT-00051,1.8495,0.4322,45.9889,0.7159,20.4381,40.0,synthetic_prototype_v1
BAT-00052,1.1886,1.0439,16.4705,0.7859,177.0276,67.2184,synthetic_prototype_v1
BAT-00053,1.2328,1.4775,5.508,0.5552,311.1931,50.3173,synthetic_prototype_v1
BAT-00054,1.5573,1.9181,16.8636,2.8592,357.613,40.0,synthetic_prototype_v1
BAT-00055,0.6162,0.728,30.8154,2.3195,472.6684,45.1579,synthetic_prototype_v1
BAT-00056,1.662,1.78,42.8079,2.1424,160.1317,40.0,synthetic_prototype_v1
BAT-00057,1.178,1.8621,41.6254,1.8152,174.036,47.7997,synthetic_prototype_v1
BAT-00058,2.4518,0.6826,12.8308,1.2663,238.5772,50.5795,synthetic_prototype_v1
BAT-00059,1.3001,0.7674,12.6649,0.449,109.4519,69.9049,synthetic_prototype_v1
BAT-00060,1.2952,0.7037,29.0008,0.3226,113.1729,74.3184,synthetic_prototype_v1
BAT-00061,1.0223,1.1393,33.3826,1.303,233.8762,52.8707,synthetic_prototype_v1
BAT-00062,1.9703,1.5563,5.8323,1.2171,481.2943,49.6411,synthetic_prototype_v1
BAT-00063,0.7446,1.6118,10.0778,1.6609,83.1856,51.4797,synthetic_prototype_v1
BAT-00064,1.7818,0.6997,28.1286,0.2,206.4689,63.7767,synthetic_prototype_v1
BAT-00065,1.721,1.4379,38.1115,0.6199,467.5554,50.1919,synthetic_prototype_v1
BAT-00066,1.2418,1.7672,48.9615,0.8856,233.9748,40.4021,synthetic_prototype_v1
BAT-00067,1.4614,0.7231,22.0103,0.97,185.6807,72.3771,synthetic_prototype_v1
BAT-00068,2.064,1.3668,36.345,2.5109,68.7576,46.7982,synthetic_prototype_v1
BAT-00069,2.4746,2.0025,8.1479,0.8057,377.9071,49.5855,synthetic_prototype_v1
BAT-00070,1.3868,0.9592,20.2372,1.7514,161.7394,59.0381,synthetic_prototype_v1
BAT-00071,1.3025,0.279,36.9422,2.7668,214.4532,41.8815,synthetic_prototype_v1
BAT-00072,1.8759,1.0958,13.2744,0.9563,89.7816,60.2652,synthetic_prototype_v1
BAT-00073,1.173,0.8872,18.8734,0.2,108.2574,74.0706,synthetic_prototype_v1
BAT-00074,0.7562,2.0649,3.6481,2.8462,327.1219,40.0,synthetic_prototype_v1
BAT-00075,1.8691,1.5954,36.462,2.5106,121.9978,42.292,synthetic_prototype_v1
BAT-00076,1.404,1.1318,26.3831,0.5696,185.4645,68.9176,synthetic_prototype_v1
BAT-00077,1.346,0.4294,24.7617,0.4757,34.6434,89.2074,synthetic_prototype_v1
BAT-00078,0.8902,1.5456,31.4116,1.2472,231.9338,51.0758,synthetic_prototype_v1
BAT-00079,1.8722,1.7371,0.4718,2.7889,484.7025,40.0,synthetic_prototype_v1
BAT-00080,1.3033,2.1584,30.8487,1.5755,231.1225,46.6443,synthetic_prototype_v1
BAT-00081,1.5611,0.45,31.1579,0.7213,41.408,76.0297,synthetic_prototype_v1
BAT-00082,0.8318,2.3753,45.703,1.3208,194.672,40.7922,synthetic_prototype_v1
BAT-00083,1.438,1.9277,44.2988,1.7695,62.6869,41.6035,synthetic_prototype_v1
BAT-00084,0.8459,0.9048,42.7074,2.2866,326.2864,40.8273,synthetic_prototype_v1
BAT-00085,1.618,0.8858,28.089,0.4265,249.6183,65.1406,synthetic_prototype_v1
BAT-00086,1.9504,2.1375,43.0619,1.3954,91.1303,41.3177,synthetic_prototype_v1
BAT-00087,1.2625,0.9592,17.4835,0.6109,233.5528,66.0303,synthetic_prototype_v1
BAT-00088,1.5916,2.3707,48.3776,1.4258,44.3984,41.5756,synthetic_prototype_v1
BAT-00089,1.496,1.0027,8.6182,1.2728,328.0215,53.596,synthetic_prototype_v1
BAT-00090,1.8206,0.2,27.1394,0.3822,105.2247,68.7874,synthetic_prototype_v1
BAT-00091,1.2232,2.4301,0.6268,0.3373,350.8153,41.2879,synthetic_prototype_v1
BAT-00092,0.8003,2.201,44.6688,2.2846,208.6547,40.0,synthetic_prototype_v1
BAT-00093,1.0836,0.7227,16.4335,0.4925,37.1927,77.0225,synthetic_prototype_v1
BAT-00094,1.1368,2.8447,18.9008,1.4262,255.8217,40.0,synthetic_prototype_v1
BAT-00095,1.1795,2.2435,27.6931,0.2984,384.2515,45.1768,synthetic_prototype_v1
BAT-00096,0.776,2.2447,26.575,1.699,493.1694,46.41,synthetic_prototype_v1
BAT-00097,1.4928,0.8099,48.4487,1.9058,56.3755,40.0,synthetic_prototype_v1
BAT-00098,1.3711,0.7075,24.4007,0.548,48.5287,85.8008,synthetic_prototype_v1
BAT-00099,1.1059,1.4265,38.8696,1.1717,50.5877,52.4694,synthetic_prototype_v1
BAT-00100,1.1517,2.6857,20.2972,0.4523,148.5964,40.0,synthetic_prototype_v1
BAT-00101,1.1027,2.6719,6.5023,2.831,111.946,42.2494,synthetic_prototype_v1
BAT-00102,2.1733,2.7939,2.2643,2.5761,467.7739,40.0,synthetic_prototype_v1
BAT-00103,0.579,1.5465,37.1888,2.0492,405.3378,51.2784,synthetic_prototype_v1
BAT-00104,2.1596,1.4467,21.3925,1.6288,95.4637,52.3086,synthetic_prototype_v1
BAT-00105,1.3463,0.9024,28.76,0.9223,63.5293,73.255,synthetic_prototype_v1
BAT-00106,0.558,0.9801,31.3563,0.8639,59.7062,56.9317,synthetic_prototype_v1
BAT-00107,1.2409,1.9644,20.2513,2.1409,252.2417,51.727,synthetic_prototype_v1
BAT-00108,2.044,0.8066,11.8993,2.3513,221.2575,46.7752,synthetic_prototype_v1
BAT-00109,0.7711,0.3203,23.4668,0.381,226.815,59.055,synthetic_prototype_v1
BAT-00110,0.7862,0.3607,18.1544,0.2056,126.6762,59.1274,synthetic_prototype_v1
BAT-00111,0.7302,0.2,22.5143,0.3704,61.0379,62.8043,synthetic_prototype_v1
BAT-00112,2.026,0.2046,49.963,1.0986,236.25,41.6053,synthetic_prototype_v1
BAT-00113,1.0962,0.5367,26.0904,0.4433,110.8526,72.6427,synthetic_prototype_v1
BAT-00114,1.5378,0.2395,46.8225,0.296,230.2762,40.0,synthetic_prototype_v1
BAT-00115,1.2215,2.0274,41.899,1.2215,208.508,46.9305,synthetic_prototype_v1
BAT-00116,1.2908,0.7196,17.385,1.0068,178.4078,69.7623,synthetic_prototype_v1
BAT-00117,1.3659,1.4153,0.4667,1.2239,279.684,42.5124,synthetic_prototype_v1
BAT-00118,1.5084,2.4188,14.2149,1.0347,404.9649,44.6526,synthetic_prototype_v1
BAT-00119,0.7736,2.8871,31.8554,1.4547,482.4167,40.0,synthetic_prototype_v1
BAT-00120,1.2718,0.4149,22.3986,0.6314,217.7454,68.2106,synthetic_prototype_v1
BAT-00121,1.988,2.3449,36.1767,2.0885,210.3499,45.4091,synthetic_prototype_v1
BAT-00122,2.3006,1.978,20.8668,2.2709,331.8912,50.4925,synthetic_prototype_v1
BAT-00123,2.36,2.7415,39.9364,2.9525,380.5986,40.0,synthetic_prototype_v1
BAT-00124,1.2596,0.3828,22.044,0.9601,61.7734,83.9773,synthetic_prototype_v1
BAT-00125,1.7423,0.366,35.0409,0.2,50.527,65.2331,synthetic_prototype_v1
BAT-00126,0.5078,0.352,18.9465,2.3376,203.2769,48.729,synthetic_prototype_v1
BAT-00127,1.92,2.2446,19.1315,1.8738,200.187,49.8152,synthetic_prototype_v1
BAT-00128,1.9477,0.5598,32.9752,0.2,160.7324,58.2968,synthetic_prototype_v1
BAT-00129,1.8058,0.4396,43.4401,1.7414,227.0512,43.0431,synthetic_prototype_v1
BAT-00130,0.6936,2.8708,34.9656,0.6793,194.7653,40.0,synthetic_prototype_v1
BAT-00131,1.2228,0.9656,20.7388,0.2865,213.3352,68.396,synthetic_prototype_v1
BAT-00132,1.1977,0.3722,25.0584,0.8459,176.4374,71.117,synthetic_prototype_v1
BAT-00133,1.8027,0.803,10.6926,2.4953,154.6444,44.1148,synthetic_prototype_v1
BAT-00134,1.8873,0.2,38.059,0.2,189.9434,56.3056,synthetic_prototype_v1
BAT-00135,1.2431,1.889,0.7488,0.5867,453.1122,40.1674,synthetic_prototype_v1
BAT-00136,1.9514,1.9058,2.7613,2.2283,420.8658,40.0,synthetic_prototype_v1
BAT-00137,1.216,0.6457,28.5475,1.0275,200.9699,67.5038,synthetic_prototype_v1
BAT-00138,1.3341,0.6804,17.787,0.5406,134.7318,76.7352,synthetic_prototype_v1
BAT-00139,1.7407,2.809,19.8073,2.4281,455.4341,41.8591,synthetic_prototype_v1
BAT-00140,1.5632,2.6561,35.715,2.156,388.4182,41.664,synthetic_prototype_v1
BAT-00141,2.2073,2.2771,33.564,2.7131,74.0892,40.6727,synthetic_prototype_v1
BAT-00142,1.3921,2.7345,34.9973,1.2929,54.0265,40.4819,synthetic_prototype_v1
BAT-00143,2.4616,2.5861,34.593,1.4077,140.1072,42.9546,synthetic_prototype_v1
BAT-00144,0.5979,2.7736,13.5368,1.1002,371.9289,40.0,synthetic_prototype_v1
BAT-00145,2.0626,0.8856,44.8642,0.9256,301.3087,40.2581,synthetic_prototype_v1
BAT-00146,1.904,2.6495,27.282,2.28,152.9008,40.0,synthetic_prototype_v1
BAT-00147,1.4972,2.6131,28.8822,2.9646,181.5054,43.3442,synthetic_prototype_v1
BAT-00148,0.8047,0.8161,9.3002,0.795,94.6135,56.9226,synthetic_prototype_v1
BAT-00149,0.5282,1.7874,15.5694,1.1151,259.5639,51.6135,synthetic_prototype_v1
BAT-00150,1.1257,0.2,30.0737,0.565,182.679,61.4386,synthetic_prototype_v1
BAT-00151,1.5946,2.5198,5.7789,1.3312,270.3807,43.57,synthetic_prototype_v1
BAT-00152,1.5395,1.6161,20.0785,1.1916,389.7208,55.7147,synthetic_prototype_v1
BAT-00153,0.6108,1.9401,31.6286,1.3881,106.007,51.8335,synthetic_prototype_v1
BAT-00154,0.6383,0.3494,19.1776,2.5111,93.6832,44.7673,synthetic_prototype_v1
BAT-00155,1.4057,0.6594,17.7032,0.8644,194.6079,72.7833,synthetic_prototype_v1
BAT-00156,1.7239,1.1646,21.8499,0.4957,72.5618,72.7827,synthetic_prototype_v1
BAT-00157,0.5395,0.3451,8.3519,2.3806,147.7268,47.7825,synthetic_prototype_v1
BAT-00158,1.1645,0.7784,26.8147,0.3995,20.8158,86.4475,synthetic_prototype_v1
BAT-00159,1.825,0.2431,8.9996,0.3963,210.5968,53.9973,synthetic_prototype_v1
BAT-00160,1.2184,2.1706,41.0596,1.0535,252.7556,46.5537,synthetic_prototype_v1
BAT-00161,1.7195,0.2063,21.8537,0.5023,209.0499,66.8282,synthetic_prototype_v1
BAT-00162,1.697,0.7663,3.197,0.7166,120.1355,43.4341,synthetic_prototype_v1
BAT-00163,2.4782,1.2105,42.712,1.0901,196.9425,42.8358,synthetic_prototype_v1
BAT-00164,1.3568,1.9669,16.6818,1.7595,392.5133,50.1818,synthetic_prototype_v1
BAT-00165,0.6276,2.6105,1.8933,2.0461,50.9464,40.0,synthetic_prototype_v1
BAT-00166,1.8116,0.7089,24.1865,0.4016,55.5575,78.7615,synthetic_prototype_v1
BAT-00167,2.0158,1.7897,0.9003,1.4565,48.7892,41.4616,synthetic_prototype_v1
BAT-00168,0.5791,1.853,48.5416,1.356,170.4185,40.0,synthetic_prototype_v1
BAT-00169,0.7118,2.2618,30.05,1.8569,307.5582,45.0826,synthetic_prototype_v1
BAT-00170,2.0815,2.445,35.3245,0.8145,221.0046,43.8215,synthetic_prototype_v1
BAT-00171,1.6088,1.6444,42.4577,0.5682,107.9821,45.7459,synthetic_prototype_v1
BAT-00172,1.5983,0.3329,14.5549,1.3622,481.4384,54.7775,synthetic_prototype_v1
BAT-00173,1.1934,0.6401,20.389,0.6734,173.8198,69.2397,synthetic_prototype_v1
BAT-00174,0.7903,1.4373,0.7698,0.4338,383.5656,41.1107,synthetic_prototype_v1
BAT-00175,1.3392,0.3105,25.1435,0.5244,143.4799,70.7667,synthetic_prototype_v1
BAT-00176,2.3172,1.3098,33.8944,1.6357,130.5076,49.1611,synthetic_prototype_v1
BAT-00177,2.4,0.8085,42.4366,2.2791,271.9449,42.4398,synthetic_prototype_v1
BAT-00178,1.0938,0.2965,7.2791,1.312,18.6093,61.076,synthetic_prototype_v1
BAT-00179,2.0805,0.5368,2.0304,1.0843,130.6592,41.485,synthetic_prototype_v1
BAT-00180,2.0666,0.95,22.4812,0.653,88.427,59.6429,synthetic_prototype_v1
BAT-00181,1.7831,1.764,26.4116,2.7484,81.424,42.6875,synthetic_prototype_v1
BAT-00182,2.1444,2.3415,2.9395,2.6253,85.1671,42.9042,synthetic_prototype_v1
BAT-00183,0.8226,0.5188,25.4436,0.7559,74.5731,65.2008,synthetic_prototype_v1
BAT-00184,1.6359,0.9134,49.5553,1.3886,331.5073,40.0,synthetic_prototype_v1
BAT-00185,1.4209,0.9774,29.9172,1.0849,72.8572,71.6272,synthetic_prototype_v1
BAT-00186,1.2817,0.2,20.5661,1.0347,49.5122,78.3653,synthetic_prototype_v1
BAT-00187,1.4981,0.3183,21.585,0.7006,221.4159,69.6898,synthetic_prototype_v1
BAT-00188,2.3997,2.2724,6.7103,0.5095,225.2606,47.5046,synthetic_prototype_v1
BAT-00189,1.0979,1.0645,25.6859,2.6993,135.5805,42.5276,synthetic_prototype_v1
BAT-00190,2.3207,0.6439,32.5443,2.6699,119.252,43.6735,synthetic_prototype_v1
BAT-00191,0.9805,0.6161,16.351,2.6956,109.2848,45.2543,synthetic_prototype_v1
BAT-00192,1.6486,1.0244,19.0441,1.0208,200.5021,65.0715,synthetic_prototype_v1
BAT-00193,1.2644,0.8071,21.3397,0.2,212.7035,70.0973,synthetic_prototype_v1
BAT-00194,2.0658,0.9928,4.2611,0.9664,353.1484,41.5466,synthetic_prototype_v1
BAT-00195,2.0498,1.688,13.7034,0.4622,430.4063,49.8594,synthetic_prototype_v1
BAT-00196,0.9384,2.3225,14.5695,2.2072,335.5483,42.2367,synthetic_prototype_v1
BAT-00197,1.1241,1.3304,21.03,0.2176,200.3219,60.7902,synthetic_prototype_v1
BAT-00198,1.0518,2.9704,7.063,0.5761,157.9482,40.6692,synthetic_prototype_v1
BAT-00199,2.059,1.9446,1.1764,1.4659,440.3899,40.0,synthetic_prototype_v1
BAT-00200,1.262,2.9634,33.4083,0.6191,224.9753,40.4258,synthetic_prototype_v1
BAT-00201,2.1115,0.3228,44.8661,2.1647,321.5244,40.0,synthetic_prototype_v1
BAT-00202,1.2532,0.6086,17.7315,0.5209,64.2864,82.9621,synthetic_prototype_v1
BAT-00203,0.9504,1.7556,19.2586,0.8085,127.7496,57.1305,synthetic_prototype_v1
BAT-00204,1.8613,0.9789,20.721,0.7925,141.2724,68.3821,synthetic_prototype_v1
BAT-00205,1.2969,0.26,25.0982,0.5048,155.642,73.7322,synthetic_prototype_v1
BAT-00206,1.8778,2.0295,25.9316,1.9845,197.4649,47.7635,synthetic_prototype_v1
BAT-00207,2.2862,2.8091,5.1466,0.9086,139.3897,40.7741,synthetic_prototype_v1
BAT-00208,1.6745,0.6197,18.9245,0.2927,153.9587,69.7847,synthetic_prototype_v1
BAT-00209,1.6041,0.7291,16.0841,0.989,57.1366,77.394,synthetic_prototype_v1
BAT-00210,0.6018,2.8312,36.1536,1.9893,96.4552,40.0,synthetic_prototype_v1
BAT-00211,2.4564,0.7165,41.9315,1.5992,147.2129,48.7327,synthetic_prototype_v1
BAT-00212,1.4399,1.0055,28.6687,0.3618,208.0495,64.3329,synthetic_prototype_v1
BAT-00213,1.4734,0.5355,15.832,0.3514,42.2145,83.814,synthetic_prototype_v1
BAT-00214,0.7676,2.4733,0.9066,0.9508,239.8584,40.0,synthetic_prototype_v1
BAT-00215,1.2951,0.5123,49.5885,2.0591,242.6636,40.0,synthetic_prototype_v1
BAT-00216,1.4256,2.0166,18.1259,0.2732,285.0441,54.6001,synthetic_prototype_v1
BAT-00217,1.3379,0.6409,16.1472,0.6899,20.025,89.3803,synthetic_prototype_v1
BAT-00218,1.6164,1.0093,20.2431,0.3515,202.6699,66.5917,synthetic_prototype_v1
BAT-00219,2.4636,0.6321,32.9795,2.9514,276.0897,43.7807,synthetic_prototype_v1
BAT-00220,1.5195,1.0797,19.2195,0.2,135.7799,69.8161,synthetic_prototype_v1
BAT-00221,0.5463,1.452,2.5173,1.1789,166.6888,40.0,synthetic_prototype_v1
BAT-00222,1.2506,2.5378,29.1391,2.5464,242.8349,40.0,synthetic_prototype_v1
BAT-00223,0.5656,1.7206,1.8426,1.6954,280.2126,41.8622,synthetic_prototype_v1
BAT-00224,1.8367,1.0835,22.6254,1.111,220.415,58.152,synthetic_prototype_v1
BAT-00225,1.45,2.0654,6.7985,0.2679,55.5202,53.1641,synthetic_prototype_v1
BAT-00226,1.5523,0.2633,19.6905,1.3512,38.522,73.1685,synthetic_prototype_v1
BAT-00227,1.922,0.3047,13.2017,1.2069,181.2946,55.1719,synthetic_prototype_v1
BAT-00228,1.3965,2.428,16.5947,1.0737,364.412,46.2751,synthetic_prototype_v1
BAT-00229,2.4995,1.649,38.2494,2.2303,345.0502,45.7285,synthetic_prototype_v1
BAT-00230,1.0503,1.0659,21.4696,0.5791,189.9729,68.0847,synthetic_prototype_v1
BAT-00231,0.6623,0.2543,41.6034,2.166,363.0972,44.3975,synthetic_prototype_v1
BAT-00232,1.335,0.275,25.618,0.5087,215.9737,71.158,synthetic_prototype_v1
BAT-00233,1.2044,2.2277,15.8564,0.8727,298.0334,50.6889,synthetic_prototype_v1
BAT-00234,0.9966,2.7189,6.7813,1.4565,15.3244,42.5736,synthetic_prototype_v1
BAT-00235,0.7128,0.4226,21.4576,1.9847,122.2488,50.2284,synthetic_prototype_v1
BAT-00236,2.4238,2.6381,4.6279,1.0542,387.8938,40.6359,synthetic_prototype_v1
BAT-00237,2.1532,0.5852,37.9277,2.1156,266.1404,50.0481,synthetic_prototype_v1
BAT-00238,0.5704,1.9931,44.0423,1.872,294.3148,40.4849,synthetic_prototype_v1
BAT-00239,1.155,0.634,49.0556,2.8256,154.9214,41.3742,synthetic_prototype_v1
BAT-00240,2.0047,2.4899,35.1909,0.3583,451.9577,45.0341,synthetic_prototype_v1
BAT-00241,0.6983,1.4316,19.4268,1.0088,260.3555,54.6169,synthetic_prototype_v1
BAT-00242,1.506,0.5403,20.5449,0.3893,208.8465,70.4342,synthetic_prototype_v1
BAT-00243,1.3188,0.9871,22.3201,0.7901,100.4505,79.872,synthetic_prototype_v1
BAT-00244,1.2893,0.5485,21.8417,0.7665,193.9149,75.1884,synthetic_prototype_v1
BAT-00245,1.4619,1.0398,14.2364,0.3675,235.2828,63.6998,synthetic_prototype_v1
BAT-00246,1.145,0.5251,22.787,2.019,81.6891,56.3229,synthetic_prototype_v1
BAT-00247,1.6095,0.5163,12.5613,0.5468,120.7932,68.628,synthetic_prototype_v1
BAT-00248,1.0625,2.6351,29.7819,1.208,203.0856,40.0,synthetic_prototype_v1
BAT-00249,1.8566,2.8307,47.1034,1.714,310.7391,41.2073,synthetic_prototype_v1
BAT-00250,1.6682,1.6344,4.3242,2.0245,454.1695,42.3936,synthetic_prototype_v1
BAT-00251,1.1958,2.5189,26.046,2.5111,127.1527,40.0,synthetic_prototype_v1
BAT-00252,2.184,0.9145,27.5245,1.0853,302.0207,52.498,synthetic_prototype_v1
BAT-00253,2.4121,2.6225,42.0288,1.1434,337.1135,43.9335,synthetic_prototype_v1
BAT-00254,1.8991,0.4043,17.6492,0.7704,182.2611,64.2579,synthetic_prototype_v1
BAT-00255,1.0593,0.5809,34.5443,0.2747,456.597,54.5286,synthetic_prototype_v1
BAT-00256,1.7008,0.5415,15.4567,0.5774,89.0902,72.3968,synthetic_prototype_v1
BAT-00257,1.3195,0.4535,20.276,0.9243,170.8077,72.8273,synthetic_prototype_v1
BAT-00258,1.8554,0.4963,24.6536,1.6705,46.7774,59.5681,synthetic_prototype_v1
BAT-00259,1.5537,0.2517,2.4558,0.5864,248.9667,42.5948,synthetic_prototype_v1
BAT-00260,1.1524,0.2,9.2669,0.2927,239.1061,55.8283,synthetic_prototype_v1
BAT-00261,2.3306,1.5537,30.3693,2.422,50.6084,47.4825,synthetic_prototype_v1
BAT-00262,2.1589,2.4034,6.4582,0.6769,352.0471,46.0831,synthetic_prototype_v1
BAT-00263,1.5628,2.5394,7.2968,2.2659,69.0123,40.8051,synthetic_prototype_v1
BAT-00264,0.728,0.8618,10.3046,1.9783,282.9766,51.3001,synthetic_prototype_v1
BAT-00265,0.8972,2.5177,42.8174,1.7686,427.151,41.2699,synthetic_prototype_v1
BAT-00266,1.1876,1.0871,29.1649,1.0623,243.1896,56.4215,synthetic_prototype_v1
BAT-00267,1.3064,0.6632,11.1723,0.7975,237.6538,59.9843,synthetic_prototype_v1
BAT-00268,1.7814,0.4428,14.3026,0.8162,152.0689,65.9168,synthetic_prototype_v1
BAT-00269,1.5844,0.3731,24.0554,0.2,208.5664,67.2744,synthetic_prototype_v1
BAT-00270,1.2939,0.2,20.9581,0.7602,247.003,68.7602,synthetic_prototype_v1
BAT-00271,1.4483,0.7747,3.4919,1.3231,265.2928,41.5649,synthetic_prototype_v1
BAT-00272,1.236,0.5276,31.1258,0.6202,216.0007,63.6696,synthetic_prototype_v1
BAT-00273,2.4701,0.3134,26.4915,1.6962,77.6664,51.5094,synthetic_prototype_v1
BAT-00274,1.8581,0.6513,49.5743,2.906,441.1342,40.8041,synthetic_prototype_v1
BAT-00275,1.8287,0.7323,47.4616,0.696,151.2764,40.0,synthetic_prototype_v1
BAT-00276,1.432,1.6501,33.1044,1.947,325.9385,49.3896,synthetic_prototype_v1
BAT-00277,2.192,0.6473,34.7809,2.4189,259.4386,49.3459,synthetic_prototype_v1
BAT-00278,1.3895,0.6703,16.2589,0.6685,64.6518,82.8074,synthetic_prototype_v1
BAT-00279,0.9615,0.5489,24.7037,2.871,324.5436,41.8053,synthetic_prototype_v1
BAT-00280,1.6609,2.3216,5.5454,2.6627,468.1426,40.0,synthetic_prototype_v1
BAT-00281,2.2851,0.6666,28.6932,1.5684,81.9047,54.849,synthetic_prototype_v1
BAT-00282,0.5021,2.3518,17.0619,1.0492,395.5638,45.2833,synthetic_prototype_v1
BAT-00283,0.5147,1.3765,3.107,2.5513,448.6916,40.0,synthetic_prototype_v1
BAT-00284,1.2039,0.563,17.8738,0.9826,37.9801,82.8053,synthetic_prototype_v1
BAT-00285,0.5489,2.5079,37.5588,2.7657,201.7484,40.5388,synthetic_prototype_v1
BAT-00286,0.9679,1.5213,42.9855,0.4338,419.1276,41.2343,synthetic_prototype_v1
BAT-00287,1.6653,2.984,30.4307,2.8779,45.7713,40.0,synthetic_prototype_v1
BAT-00288,1.3905,2.6253,48.2567,1.063,349.4358,41.6742,synthetic_prototype_v1
