experiment_id,coagulant_dose_mg_l,ph,contact_time_min,temperature_c,mixing_speed_rpm,turbidity_removal_percent,source
WAT-00152,54.3766,7.0344,51.1807,17.3956,243.7351,30.0,synthetic_prototype_v1
WAT-00153,10.2626,7.7288,77.7457,19.8507,98.9831,43.6454,synthetic_prototype_v1
WAT-00154,11.5681,4.3201,49.1085,33.8888,92.6955,30.0,synthetic_prototype_v1
WAT-00155,40.226,6.9584,26.3633,10.669,50.0,53.7531,synthetic_prototype_v1
WAT-00156,52.9548,8.3057,32.2803,7.9439,97.6515,52.1669,synthetic_prototype_v1
WAT-00157,6.8778,4.3108,24.2094,32.2577,120.2688,32.1451,synthetic_prototype_v1
WAT-00158,30.5784,7.2757,5.0,21.2162,161.8153,51.2096,synthetic_prototype_v1
WAT-00159,57.0007,5.8484,50.6711,22.6804,101.8354,54.6487,synthetic_prototype_v1
WAT-00160,39.1244,8.2226,99.4371,15.6685,173.8549,47.3068,synthetic_prototype_v1
WAT-00161,52.7816,5.7502,37.3203,12.8628,87.4691,55.4927,synthetic_prototype_v1
WAT-00162,51.8819,7.2435,31.0994,17.2876,112.9625,66.169,synthetic_prototype_v1
WAT-00163,98.9637,6.1654,103.2377,16.1259,145.3788,30.6618,synthetic_prototype_v1
WAT-00164,45.6973,7.7862,43.368,24.4937,245.1598,30.0,synthetic_prototype_v1
WAT-00165,11.0626,9.1653,9.3546,28.0765,70.891,30.5247,synthetic_prototype_v1
WAT-00166,56.4642,7.0903,53.3503,18.9119,87.5838,60.9975,synthetic_prototype_v1
WAT-00167,77.0015,7.4065,7.0708,20.7059,69.7904,36.2291,synthetic_prototype_v1
WAT-00168,8.7582,7.5422,116.6458,19.4505,131.8462,45.0965,synthetic_prototype_v1
WAT-00169,15.0603,8.4181,74.1151,25.7108,201.8154,37.2825,synthetic_prototype_v1
WAT-00170,80.1201,8.8108,86.2463,12.681,157.6554,33.6588,synthetic_prototype_v1
WAT-00171,57.6679,7.0952,102.6527,9.603,99.9909,62.6571,synthetic_prototype_v1
WAT-00172,57.1687,4.2848,38.4763,19.5271,290.5298,30.0,synthetic_prototype_v1
WAT-00173,31.734,6.9068,22.0251,29.1548,142.2319,68.9617,synthetic_prototype_v1
WAT-00174,18.7874,6.6514,6.7706,7.9222,240.5947,30.0,synthetic_prototype_v1
WAT-00175,37.5667,6.028,73.1165,22.3669,102.0027,76.217,synthetic_prototype_v1
WAT-00176,91.3178,6.3782,82.9571,22.9467,111.4835,30.0,synthetic_prototype_v1
WAT-00177,95.2502,5.304,102.6043,30.9882,183.6454,32.1729,synthetic_prototype_v1
WAT-00178,33.2033,4.2068,21.742,18.8999,54.3925,31.2771,synthetic_prototype_v1
WAT-00179,80.0731,4.7217,9.67,16.0534,111.5608,31.3723,synthetic_prototype_v1
WAT-00180,66.6639,7.7332,25.7058,23.0023,86.5021,45.9756,synthetic_prototype_v1
WAT-00181,65.947,7.3514,65.7466,36.8556,86.4408,52.3718,synthetic_prototype_v1
WAT-00182,83.1103,8.5889,11.7608,35.3167,88.3506,36.4523,synthetic_prototype_v1
WAT-00183,16.9027,6.5835,51.6835,16.4517,89.2946,53.7198,synthetic_prototype_v1
WAT-00184,58.9538,5.5286,118.9773,19.8574,214.0344,36.12,synthetic_prototype_v1
WAT-00185,40.837,7.8064,26.8011,16.4535,121.208,63.3048,synthetic_prototype_v1
WAT-00186,35.269,5.0648,18.7526,17.0694,120.7515,48.5922,synthetic_prototype_v1
WAT-00187,43.9233,6.0489,34.5116,13.8003,50.0,49.2211,synthetic_prototype_v1
WAT-00188,95.2359,8.4409,20.4336,8.8684,159.8269,30.0,synthetic_prototype_v1
WAT-00189,33.3996,5.8525,64.0776,36.2418,114.0717,71.1937,synthetic_prototype_v1
WAT-00190,91.4811,4.9512,79.8519,35.8737,105.7408,30.0,synthetic_prototype_v1
WAT-00191,27.8237,4.8917,42.6073,36.1951,100.6555,40.4772,synthetic_prototype_v1
WAT-00192,49.9455,7.9317,75.3681,21.6341,97.4828,63.5044,synthetic_prototype_v1
WAT-00193,34.5742,7.3523,27.4753,20.1766,121.8923,73.1177,synthetic_prototype_v1
WAT-00194,79.376,5.6988,14.8005,14.5804,225.0757,33.3431,synthetic_prototype_v1
WAT-00195,78.6163,7.1886,36.5178,8.2775,264.493,30.0,synthetic_prototype_v1
WAT-00196,25.823,8.5481,38.5099,30.0904,216.0961,35.6858,synthetic_prototype_v1
WAT-00197,28.9659,8.7476,54.6019,21.4671,121.5037,44.8125,synthetic_prototype_v1
WAT-00198,31.2128,9.9366,21.2448,9.7015,125.4838,30.0,synthetic_prototype_v1
WAT-00199,79.0504,7.7384,7.7057,20.8242,269.5867,30.0,synthetic_prototype_v1
WAT-00200,41.197,9.9217,81.8391,10.2391,159.6813,30.0,synthetic_prototype_v1
WAT-00201,81.5484,4.2631,108.192,29.5582,208.941,30.0,synthetic_prototype_v1
WAT-00202,34.1261,6.823,112.0075,12.7727,115.157,81.5365,synthetic_prototype_v1
WAT-00203,26.3919,7.3334,49.2948,12.6061,110.0763,66.747,synthetic_prototype_v1
WAT-00204,58.4525,7.8104,18.8807,9.9133,110.297,50.3124,synthetic_prototype_v1
WAT-00205,35.8764,5.8933,72.3902,11.3822,142.9029,69.9679,synthetic_prototype_v1
WAT-00206,70.4456,7.9204,64.6428,27.3059,145.6454,39.3651,synthetic_prototype_v1
WAT-00207,89.8465,9.5909,16.8371,13.8572,116.0151,30.2812,synthetic_prototype_v1
WAT-00208,50.9808,6.8525,43.9703,20.2802,107.1794,73.1345,synthetic_prototype_v1
WAT-00209,48.163,7.1442,50.4709,21.5,155.0623,70.7092,synthetic_prototype_v1
WAT-00210,9.8337,9.6383,88.1532,27.3664,94.1098,30.0,synthetic_prototype_v1
WAT-00211,97.9294,5.1068,101.4424,22.4896,120.0066,31.652,synthetic_prototype_v1
WAT-00212,41.5963,7.8814,60.8632,19.567,94.2285,62.8198,synthetic_prototype_v1
WAT-00213,42.9377,6.628,14.0161,29.1491,141.5259,73.694,synthetic_prototype_v1
WAT-00214,17.7097,8.8713,7.0853,14.3845,167.2747,38.6035,synthetic_prototype_v1
WAT-00215,42.7649,4.6691,119.0536,28.2385,168.7059,31.5333,synthetic_prototype_v1
WAT-00216,48.9659,7.8926,46.6897,5.9144,190.3286,43.2928,synthetic_prototype_v1
WAT-00217,37.5169,6.9092,30.4162,18.0783,118.259,78.8996,synthetic_prototype_v1
WAT-00218,48.6569,7.8914,10.143,20.5177,166.5503,52.043,synthetic_prototype_v1
WAT-00219,98.2716,4.9258,80.8529,39.3926,185.7601,30.0,synthetic_prototype_v1
WAT-00220,44.7818,8.0793,37.0114,16.2904,98.7087,56.1523,synthetic_prototype_v1
WAT-00221,7.1983,6.6828,10.7898,17.2359,129.9433,43.704,synthetic_prototype_v1
WAT-00222,40.6514,9.0097,72.0199,34.3297,168.7933,41.4297,synthetic_prototype_v1
WAT-00223,8.1169,7.2584,9.2379,23.6928,187.8636,35.8747,synthetic_prototype_v1
WAT-00224,68.4914,5.8932,57.0385,16.3879,157.3546,43.1534,synthetic_prototype_v1
WAT-00225,50.1271,7.9973,20.6365,5.8493,73.2246,44.8717,synthetic_prototype_v1
WAT-00226,46.0916,5.9021,25.8104,24.0964,178.1868,54.0469,synthetic_prototype_v1
WAT-00227,60.8817,6.0126,33.1981,19.9756,86.2381,50.7568,synthetic_prototype_v1
WAT-00228,47.5829,8.7743,43.1678,15.9216,230.8224,31.488,synthetic_prototype_v1
WAT-00229,99.9777,7.105,92.9735,30.379,220.944,30.0,synthetic_prototype_v1
WAT-00230,31.1395,5.8555,54.3801,9.7389,141.8229,63.9858,synthetic_prototype_v1
WAT-00231,12.7096,4.1164,100.6879,29.5755,230.1516,31.4818,synthetic_prototype_v1
WAT-00232,37.4008,5.9333,7.5809,18.5399,109.6484,59.8106,synthetic_prototype_v1
WAT-00233,38.4602,8.3452,41.4697,13.4088,196.9558,43.0752,synthetic_prototype_v1
WAT-00234,28.588,9.3976,20.597,20.7061,52.7165,32.5659,synthetic_prototype_v1
WAT-00235,15.1099,4.477,54.3525,27.309,107.2698,34.7803,synthetic_prototype_v1
WAT-00236,96.3803,9.2244,15.6443,15.6773,242.803,30.6329,synthetic_prototype_v1
WAT-00237,83.5281,4.8253,92.2337,28.9453,180.6839,30.0,synthetic_prototype_v1
WAT-00238,8.3417,7.8423,106.2974,25.9005,195.0586,41.534,synthetic_prototype_v1
WAT-00239,36.1121,4.9299,117.8279,37.8197,123.9395,48.6675,synthetic_prototype_v1
WAT-00240,76.4712,8.9069,85.939,6.9788,275.4886,30.0,synthetic_prototype_v1
WAT-00241,14.4199,6.6391,49.6816,15.1099,177.7324,41.0772,synthetic_prototype_v1
WAT-00242,44.2404,6.6407,27.2994,25.685,138.4857,76.954,synthetic_prototype_v1
WAT-00243,36.753,7.8323,77.732,22.2432,178.8328,53.5543,synthetic_prototype_v1
WAT-00244,35.5714,6.6626,40.1342,30.1864,56.6253,54.2961,synthetic_prototype_v1
WAT-00245,42.4771,7.9729,52.4194,12.3827,113.8793,64.9744,synthetic_prototype_v1
WAT-00246,35.6366,4.6966,57.4102,27.7377,86.5761,30.0,synthetic_prototype_v1
WAT-00247,48.3818,6.5768,51.1306,14.5623,156.0517,69.6523,synthetic_prototype_v1
WAT-00248,31.7172,9.2181,73.4983,17.5997,148.513,33.3815,synthetic_prototype_v1
WAT-00249,69.4395,9.6372,113.3378,23.9253,203.4383,30.0,synthetic_prototype_v1
WAT-00250,60.4893,7.0737,14.9457,27.8067,276.6171,33.6511,synthetic_prototype_v1
WAT-00251,38.0506,8.9692,64.9058,33.8889,109.7718,45.8051,synthetic_prototype_v1
WAT-00252,84.9894,5.5311,68.3064,16.0657,198.9901,32.8702,synthetic_prototype_v1
WAT-00253,95.8244,9.1911,101.6663,16.7921,216.8947,30.2133,synthetic_prototype_v1
WAT-00254,59.964,6.2781,41.4233,25.6975,101.6743,58.7188,synthetic_prototype_v1
WAT-00255,31.5655,4.8162,84.452,5.9335,277.8556,30.0,synthetic_prototype_v1
WAT-00256,52.0301,6.6439,44.0226,19.5923,122.8409,74.4417,synthetic_prototype_v1
WAT-00257,36.7786,6.4093,16.3134,15.7071,74.38,57.6681,synthetic_prototype_v1
WAT-00258,69.3823,4.6349,61.7032,23.3808,68.764,31.0346,synthetic_prototype_v1
WAT-00259,46.1465,5.8713,24.8752,5.0,137.5848,63.1086,synthetic_prototype_v1
WAT-00260,30.0947,5.0282,5.2557,23.5729,113.3782,44.2224,synthetic_prototype_v1
WAT-00261,91.9534,6.9008,74.8493,32.7754,70.7186,31.4232,synthetic_prototype_v1
WAT-00262,83.7957,8.7216,19.8539,10.9618,224.5138,31.8159,synthetic_prototype_v1
WAT-00263,55.4843,9.0131,21.7826,30.8232,80.1083,38.5129,synthetic_prototype_v1
WAT-00264,15.8318,5.4182,28.7005,27.2282,189.2738,37.4021,synthetic_prototype_v1
WAT-00265,23.8654,8.9664,103.4801,24.6075,262.8321,31.6828,synthetic_prototype_v1
WAT-00266,31.5033,8.099,94.0377,27.8662,90.8872,59.7041,synthetic_prototype_v1
WAT-00267,36.2578,6.9685,53.4423,20.0335,99.4344,80.8435,synthetic_prototype_v1
WAT-00268,55.2556,6.3808,48.5212,22.923,137.6723,65.939,synthetic_prototype_v1
WAT-00269,47.374,6.1949,86.0335,18.3241,94.7817,74.163,synthetic_prototype_v1
WAT-00270,35.7542,4.5703,37.0877,15.4571,107.6031,30.6902,synthetic_prototype_v1
WAT-00271,50.0426,5.2316,13.0314,19.0385,180.2515,43.7404,synthetic_prototype_v1
WAT-00272,33.4387,6.607,52.5121,5.886,138.8066,76.1519,synthetic_prototype_v1
WAT-00273,98.5794,4.243,65.9304,23.703,84.5237,31.4489,synthetic_prototype_v1
WAT-00274,69.5099,4.9672,119.0209,38.8245,269.9664,31.3642,synthetic_prototype_v1
WAT-00275,68.1128,5.1406,114.1617,11.1997,122.0798,39.5989,synthetic_prototype_v1
WAT-00276,49.2686,7.1073,81.1402,26.837,211.1931,42.0707,synthetic_prototype_v1
WAT-00277,85.3707,4.9584,84.996,32.7365,177.2646,31.169,synthetic_prototype_v1
WAT-00278,39.5816,6.9874,36.108,25.2787,88.9933,75.4908,synthetic_prototype_v1
WAT-00279,26.9209,4.7477,61.8186,38.3878,210.4814,30.0,synthetic_prototype_v1
WAT-00280,60.1416,8.5463,17.7545,35.7835,283.7462,30.0,synthetic_prototype_v1
WAT-00281,89.7914,4.9998,70.9943,22.1047,86.6861,30.2826,synthetic_prototype_v1
WAT-00282,5.1014,8.6111,44.2425,15.6155,246.7162,30.0,synthetic_prototype_v1
WAT-00283,5.6994,6.521,12.146,34.3916,273.8222,30.0,synthetic_prototype_v1
WAT-00284,32.1556,6.7014,17.7676,30.7288,153.7115,65.978,synthetic_prototype_v1
WAT-00285,7.3228,8.9454,91.3851,37.0715,147.8308,37.9299,synthetic_prototype_v1
WAT-00286,27.2243,6.8313,103.8667,7.9226,258.7386,30.4468,synthetic_prototype_v1
WAT-00287,60.3512,9.9657,74.9906,38.4741,68.2507,30.0,synthetic_prototype_v1
