experiment_id,light_intensity_lux,co2_concentration_ppm,nutrient_concentration_mm,temperature_c,water_supply_ml_day,biomass_yield,source
PLT-00037,20329.8025,1173.4112,1.7965,37.2313,133.4974,14.711,synthetic_prototype_v1
PLT-00038,60060.9759,791.3833,9.2622,32.3333,400.999,23.9562,synthetic_prototype_v1
PLT-00039,50464.7322,839.4159,8.0373,37.2053,67.1221,17.9262,synthetic_prototype_v1
PLT-00040,43040.9639,911.327,3.4486,23.581,239.6388,120.1737,synthetic_prototype_v1
PLT-00041,70439.8812,806.1671,1.404,16.0982,106.9225,10.0,synthetic_prototype_v1
PLT-00042,74138.9338,514.5574,4.2598,15.5911,354.1368,10.0,synthetic_prototype_v1
PLT-00043,42105.0241,861.5054,5.4342,24.1799,230.7726,116.8344,synthetic_prototype_v1
PLT-00044,47111.7046,437.891,8.8732,21.9841,127.7307,21.1114,synthetic_prototype_v1
PLT-00045,50621.377,879.2814,3.3272,32.517,197.8475,47.91,synthetic_prototype_v1
PLT-00046,30514.7861,793.9542,4.178,30.1195,196.6673,123.0585,synthetic_prototype_v1
PLT-00047,56969.4943,1130.1895,3.5868,24.3891,313.5348,32.3431,synthetic_prototype_v1
PLT-00048,61145.6015,508.1771,8.3759,26.1005,89.0893,20.9009,synthetic_prototype_v1
PLT-00049,72695.1797,914.243,3.1768,24.0543,401.9638,26.6835,synthetic_prototype_v1
PLT-00050,26759.7691,648.2369,3.7464,30.83,350.1931,78.9715,synthetic_prototype_v1
PLT-00051,55605.2411,466.349,9.2379,19.6059,59.586,12.2256,synthetic_prototype_v1
PLT-00052,27953.4669,977.5611,2.8941,27.8591,338.955,91.8704,synthetic_prototype_v1
PLT-00053,32479.4337,764.9978,1.5465,18.1717,326.6059,40.6576,synthetic_prototype_v1
PLT-00054,44649.3154,890.8752,3.7041,38.7431,369.2364,15.4631,synthetic_prototype_v1
PLT-00055,9358.1361,550.8481,6.3549,33.9237,474.8995,19.2538,synthetic_prototype_v1
PLT-00056,48574.203,851.437,8.6335,32.343,187.876,20.3922,synthetic_prototype_v1
PLT-00057,30426.1893,874.8906,8.4088,29.4215,200.6453,35.0378,synthetic_prototype_v1
PLT-00058,78192.3155,537.8938,2.9379,24.5202,259.9178,20.0506,synthetic_prototype_v1
PLT-00059,31669.9361,866.971,2.133,24.4896,236.1224,110.9646,synthetic_prototype_v1
PLT-00060,31506.3089,841.495,5.4002,23.2258,241.7848,124.1815,synthetic_prototype_v1
PLT-00061,22411.3654,1015.724,6.2765,33.0301,425.4637,28.7985,synthetic_prototype_v1
PLT-00062,60134.7071,787.5074,1.6081,24.081,482.8213,35.2787,synthetic_prototype_v1
PLT-00063,14171.7153,803.3682,2.4148,28.0435,117.2113,52.2503,synthetic_prototype_v1
PLT-00064,47725.3313,839.867,5.2257,20.5681,383.757,68.7388,synthetic_prototype_v1
PLT-00065,50789.1503,753.685,7.7412,18.7489,470.204,23.4727,synthetic_prototype_v1
PLT-00066,32818.4241,847.7783,9.8027,21.1218,255.6911,19.0582,synthetic_prototype_v1
PLT-00067,37047.8261,849.2267,4.0021,29.7004,352.1228,141.2941,synthetic_prototype_v1
PLT-00068,63650.3878,733.3633,7.4056,35.6328,103.9611,17.3545,synthetic_prototype_v1
PLT-00069,79048.4465,915.0067,2.0481,20.4085,387.8739,19.7576,synthetic_prototype_v1
PLT-00070,38256.0649,616.9103,4.3451,28.8518,189.3525,94.6152,synthetic_prototype_v1
PLT-00071,35094.8723,422.5756,7.519,37.9175,237.7631,13.2189,synthetic_prototype_v1
PLT-00072,50861.8951,998.3214,2.2549,29.5625,206.1893,44.0328,synthetic_prototype_v1
PLT-00073,27433.551,914.8782,3.3747,21.2702,234.3048,94.2328,synthetic_prototype_v1
PLT-00074,14608.5225,932.8418,1.1931,38.627,341.2344,10.7118,synthetic_prototype_v1
PLT-00075,56342.1555,798.6996,7.4278,35.6303,152.8551,10.5937,synthetic_prototype_v1
PLT-00076,35134.2842,1012.7028,4.8766,25.6961,351.7937,97.3396,synthetic_prototype_v1
PLT-00077,33201.6071,731.7485,4.5523,24.7565,122.2834,143.5553,synthetic_prototype_v1
PLT-00078,19634.3181,784.4479,6.4682,24.3501,253.8167,54.2563,synthetic_prototype_v1
PLT-00079,56457.2274,839.1636,0.5896,38.1148,485.9513,13.0155,synthetic_prototype_v1
PLT-00080,35124.6226,959.539,6.3612,27.281,253.0716,66.1282,synthetic_prototype_v1
PLT-00081,40369.3047,740.0182,5.8316,27.2129,132.5773,104.4484,synthetic_prototype_v1
PLT-00082,17443.0151,1021.5256,9.1836,25.0067,219.5968,21.4823,synthetic_prototype_v1
PLT-00083,40175.3809,893.6183,8.9168,29.0134,98.3859,29.2282,synthetic_prototype_v1
PLT-00084,17970.7952,601.3685,8.6144,33.6302,340.4671,22.1648,synthetic_prototype_v1
PLT-00085,42267.3108,914.31,5.2178,24.2647,449.4191,121.3265,synthetic_prototype_v1
PLT-00086,59388.7491,953.5657,8.6818,25.6729,124.5074,23.2563,synthetic_prototype_v1
PLT-00087,30417.7216,943.6778,3.0967,26.1094,424.9717,118.3736,synthetic_prototype_v1
PLT-00088,45934.8714,1020.1866,9.6917,25.9446,81.5904,19.5652,synthetic_prototype_v1
PLT-00089,42349.8718,629.3536,2.1375,24.5787,342.0605,76.1584,synthetic_prototype_v1
PLT-00090,49018.6563,499.5863,5.0279,23.8219,229.6898,46.1381,synthetic_prototype_v1
PLT-00091,32119.9272,1037.1733,0.6191,16.2262,362.9936,17.9223,synthetic_prototype_v1
PLT-00092,16259.7168,971.7121,8.9871,33.6121,232.438,17.8762,synthetic_prototype_v1
PLT-00093,24453.7579,849.0932,2.8867,24.925,126.1628,97.6224,synthetic_prototype_v1
PLT-00094,28879.9338,1155.6237,4.0911,25.9479,275.7546,47.0215,synthetic_prototype_v1
PLT-00095,30480.1961,983.8551,5.7617,15.8789,393.7004,15.0626,synthetic_prototype_v1
PLT-00096,15349.8138,984.2126,5.5492,28.3837,493.727,46.2233,synthetic_prototype_v1
PLT-00097,42231.3112,574.2698,9.7053,30.23,92.5898,12.304,synthetic_prototype_v1
PLT-00098,34035.7247,842.9967,4.4801,25.4796,143.4132,152.3813,synthetic_prototype_v1
PLT-00099,27722.3472,750.4214,7.8852,23.6755,87.2744,35.1544,synthetic_prototype_v1
PLT-00100,29436.9019,1110.2093,4.3565,17.253,177.2824,15.8984,synthetic_prototype_v1
PLT-00101,27600.6974,1106.2475,1.7354,38.4913,143.6239,18.3308,synthetic_prototype_v1
PLT-00102,67748.056,1141.1133,0.9302,36.2148,470.4046,13.8036,synthetic_prototype_v1
PLT-00103,7964.2714,784.7265,7.5659,31.5104,413.0654,26.0421,synthetic_prototype_v1
PLT-00104,67234.2307,756.2124,4.5646,27.7572,128.4871,30.5684,synthetic_prototype_v1
PLT-00105,33211.1859,920.9429,5.352,29.2232,166.2402,96.3242,synthetic_prototype_v1
PLT-00106,7174.9627,622.8848,6.4577,20.9276,95.6486,27.0946,synthetic_prototype_v1
PLT-00107,32784.478,904.1216,4.3478,32.3294,272.4668,86.5401,synthetic_prototype_v1
PLT-00108,62900.9324,573.3068,2.7609,34.2079,244.012,15.6948,synthetic_prototype_v1
PLT-00109,14036.2056,688.1164,4.2934,23.8104,414.7184,63.632,synthetic_prototype_v1
PLT-00110,14541.2577,704.2864,3.2309,22.0556,262.3333,50.7141,synthetic_prototype_v1
PLT-00111,12672.3466,516.7954,4.1029,23.7044,162.449,33.7335,synthetic_prototype_v1
PLT-00112,62226.4473,401.3047,9.993,23.0232,257.7806,17.5494,synthetic_prototype_v1
PLT-00113,24873.3775,774.6704,4.8181,24.4326,238.2539,115.5035,synthetic_prototype_v1
PLT-00114,43918.5982,411.2757,9.3963,15.8571,252.2945,10.0,synthetic_prototype_v1
PLT-00115,32056.9015,922.1024,8.4608,24.1209,232.3032,35.5022,synthetic_prototype_v1
PLT-00116,31359.3041,847.8333,3.077,30.0681,341.0554,121.0903,synthetic_prototype_v1
PLT-00117,37472.937,747.2285,0.5887,24.1421,297.669,59.3066,synthetic_prototype_v1
PLT-00118,42813.3953,1033.9401,3.2008,22.453,412.7229,65.9009,synthetic_prototype_v1
PLT-00119,15261.5959,1167.745,6.5525,26.203,483.8521,21.3159,synthetic_prototype_v1
PLT-00120,30726.5865,725.9707,4.0797,26.3138,400.9169,163.5724,synthetic_prototype_v1
PLT-00121,60799.6042,1012.8267,7.3736,31.8618,233.9948,22.9955,synthetic_prototype_v1
PLT-00122,72520.8575,908.0063,4.4647,33.4897,345.6143,26.9803,synthetic_prototype_v1
PLT-00123,74750.2511,1126.1567,8.0879,39.576,390.3456,10.0,synthetic_prototype_v1
PLT-00124,30318.4683,713.1105,4.0088,29.6008,163.5681,123.2791,synthetic_prototype_v1
PLT-00125,46409.0112,706.3908,6.6082,21.317,146.4542,50.5359,synthetic_prototype_v1
PLT-00126,5292.061,443.4329,4.0998,34.0857,227.4992,17.6442,synthetic_prototype_v1
PLT-00127,58251.266,984.171,4.135,29.9444,224.6615,44.3038,synthetic_prototype_v1
PLT-00128,53255.7614,783.9102,6.195,21.4585,314.158,47.0482,synthetic_prototype_v1
PLT-00129,53969.1595,468.4461,8.7536,28.7621,249.3328,24.0359,synthetic_prototype_v1
PLT-00130,12260.7612,1163.0799,7.1435,19.2796,219.6824,19.3886,synthetic_prototype_v1
PLT-00131,29092.4024,946.2372,3.7478,22.865,394.2057,107.1889,synthetic_prototype_v1
PLT-00132,28256.9811,708.8922,4.6117,28.4588,338.0568,134.1084,synthetic_prototype_v1
PLT-00133,53850.1249,572.2857,2.5316,35.4941,182.8367,14.3748,synthetic_prototype_v1
PLT-00134,51244.3868,590.696,7.2118,20.8354,358.6095,32.7696,synthetic_prototype_v1
PLT-00135,32865.7406,882.5637,0.6423,18.4527,456.9398,33.9139,synthetic_prototype_v1
PLT-00136,59427.5728,887.3589,1.0246,33.1094,427.3257,20.6955,synthetic_prototype_v1
PLT-00137,28867.9506,818.2631,5.3095,30.2745,375.3889,109.0738,synthetic_prototype_v1
PLT-00138,32804.3967,832.1503,3.1574,25.4064,274.5918,162.6833,synthetic_prototype_v1
PLT-00139,51526.8282,1145.4357,4.2634,34.8939,459.0721,19.7018,synthetic_prototype_v1
PLT-00140,44870.9689,1101.7403,7.2858,32.464,397.5269,26.2086,synthetic_prototype_v1
PLT-00141,69022.263,993.4567,6.8772,37.4387,108.8574,15.2284,synthetic_prototype_v1
PLT-00142,38455.467,1124.1491,7.1495,24.7578,90.4325,27.7014,synthetic_prototype_v1
PLT-00143,78561.5859,1081.7434,7.0727,25.7826,169.4862,20.6397,synthetic_prototype_v1
PLT-00144,8672.2782,1135.3279,3.072,23.0373,382.3837,22.903,synthetic_prototype_v1
PLT-00145,63597.0527,595.8838,9.0242,21.4787,317.5284,20.6812,synthetic_prototype_v1
PLT-00146,57650.1636,1099.8585,5.6836,33.5716,181.2355,22.759,synthetic_prototype_v1
PLT-00147,42395.0029,1089.4601,5.9876,39.6843,207.5049,20.0095,synthetic_prototype_v1
PLT-00148,16424.5033,576.0387,2.267,20.3124,127.7063,31.2103,synthetic_prototype_v1
PLT-00149,6059.355,853.5433,3.4582,23.1709,279.1914,38.9378,synthetic_prototype_v1
PLT-00150,25855.1073,617.4648,5.6147,25.6499,347.555,74.2547,synthetic_prototype_v1
PLT-00151,46046.2131,1062.7976,1.598,25.0999,289.1251,42.1201,synthetic_prototype_v1
PLT-00152,43981.5245,804.5869,4.3149,23.854,398.7232,147.7414,synthetic_prototype_v1
PLT-00153,9154.6557,897.1667,6.5094,25.6076,138.1696,33.3895,synthetic_prototype_v1
PLT-00154,10185.3622,442.6808,4.1437,35.6348,126.8519,13.666,synthetic_prototype_v1
PLT-00155,35188.3638,823.7647,3.1406,28.6441,365.7077,153.3239,synthetic_prototype_v1
PLT-00156,45795.6878,1025.8496,3.97,24.9567,179.9853,73.5806,synthetic_prototype_v1
PLT-00157,6482.4834,441.4441,2.0869,34.4698,176.4838,16.807,synthetic_prototype_v1
PLT-00158,27148.6853,871.3506,4.9629,23.9945,101.2414,113.2474,synthetic_prototype_v1
PLT-00159,49167.2686,657.2538,1.3999,23.9627,390.0386,45.8255,synthetic_prototype_v1
PLT-00160,31940.3298,963.0158,8.3013,22.6204,272.9388,30.1367,synthetic_prototype_v1
PLT-00161,45651.3137,642.5322,3.9707,25.0233,387.6846,103.6556,synthetic_prototype_v1
PLT-00162,44901.612,866.5232,0.5,27.1656,252.3801,52.8374,synthetic_prototype_v1
PLT-00163,79181.8955,688.7222,8.6153,22.9471,221.6819,20.4276,synthetic_prototype_v1
PLT-00164,37129.4484,904.8225,3.6695,28.9241,401.2877,137.7464,synthetic_prototype_v1
PLT-00165,9786.2942,1088.7089,0.8597,31.4832,87.6039,21.0828,synthetic_prototype_v1
PLT-00166,48720.1717,843.5418,4.4373,24.0163,154.1092,100.8141,synthetic_prototype_v1
PLT-00167,61843.2739,854.2049,0.6711,26.2185,85.6227,28.1325,synthetic_prototype_v1
PLT-00168,7967.0156,872.2954,9.7229,25.3218,197.3231,13.3782,synthetic_prototype_v1
PLT-00169,12942.3053,989.0833,6.2095,29.7934,323.2678,29.9311,synthetic_prototype_v1
PLT-00170,64305.348,1041.4415,7.2117,20.4864,243.7798,20.1458,synthetic_prototype_v1
PLT-00171,46579.9268,812.6876,8.567,18.2878,139.9836,24.2381,synthetic_prototype_v1
PLT-00172,46185.8288,437.9788,3.2654,25.3765,482.9536,42.3542,synthetic_prototype_v1
PLT-00173,28111.7031,816.0216,3.6778,26.7339,334.0736,156.5656,synthetic_prototype_v1
PLT-00174,15884.7691,753.5209,0.6463,17.0873,393.0705,18.0902,synthetic_prototype_v1
PLT-00175,32972.2643,684.2034,4.6287,25.2441,287.9043,139.9632,synthetic_prototype_v1
PLT-00176,73145.6185,717.0879,6.9399,27.8191,160.6702,18.7952,synthetic_prototype_v1
PLT-00177,76250.1328,573.8654,8.563,33.563,290.5617,22.7496,synthetic_prototype_v1
PLT-00178,27265.7356,427.5768,1.883,24.9285,57.9065,30.6884,synthetic_prototype_v1
PLT-00179,64268.2367,496.2286,0.8858,22.8953,160.8094,24.0117,synthetic_prototype_v1
PLT-00180,57219.9229,939.9848,4.0962,26.5304,204.128,50.3626,synthetic_prototype_v1
PLT-00181,53116.0403,846.8513,5.5182,37.754,115.5934,15.9032,synthetic_prototype_v1
PLT-00182,66666.016,1011.8504,1.0585,36.6548,119.0311,19.0297,synthetic_prototype_v1
PLT-00183,15752.2365,767.528,4.6887,27.5589,183.0461,69.4267,synthetic_prototype_v1
PLT-00184,47595.0673,603.8179,9.9155,25.6124,345.2618,14.6759,synthetic_prototype_v1
PLT-00185,35697.5228,950.9568,5.5834,30.8488,180.4349,69.2108,synthetic_prototype_v1
PLT-00186,31057.4839,539.7142,3.7132,30.3467,144.9099,54.927,synthetic_prototype_v1
PLT-00187,38269.3841,687.331,3.917,27.0063,406.5025,154.7825,synthetic_prototype_v1
PLT-00188,76238.8535,992.117,1.775,17.7632,247.6883,15.5591,synthetic_prototype_v1
PLT-00189,27420.7738,646.9988,5.3803,37.3156,165.3291,16.0603,synthetic_prototype_v1
PLT-00190,73274.5183,526.824,6.6834,37.0526,150.3335,14.5033,synthetic_prototype_v1
PLT-00191,23018.6711,518.8959,3.6067,37.2822,141.1799,18.6771,synthetic_prototype_v1
PLT-00192,43287.9538,969.7508,3.4088,30.2081,374.6771,79.5719,synthetic_prototype_v1
PLT-00193,30478.4888,882.8397,3.8679,18.1349,393.2445,66.2708,synthetic_prototype_v1
PLT-00194,63717.8956,626.5081,1.3096,21.8432,365.1363,21.554,synthetic_prototype_v1
PLT-00195,63118.0928,825.1425,3.1036,17.3411,436.0875,15.3378,synthetic_prototype_v1
PLT-00196,21439.1912,1006.4169,3.2682,32.9217,348.9729,37.3702,synthetic_prototype_v1
PLT-00197,25804.9377,1092.1439,3.806,22.1761,374.4029,49.6771,synthetic_prototype_v1
PLT-00198,25694.2882,1191.5519,1.842,18.3582,185.8708,23.9953,synthetic_prototype_v1
PLT-00199,63460.8156,898.4572,0.7235,26.303,445.2561,21.2224,synthetic_prototype_v1
PLT-00200,33576.592,1189.5557,6.8476,18.7422,247.4263,23.3977,synthetic_prototype_v1
PLT-00201,65432.9524,435.0866,9.0246,32.5416,336.0939,18.4699,synthetic_prototype_v1
PLT-00202,30105.0559,803.4438,3.1463,25.2092,167.3924,147.8355,synthetic_prototype_v1
PLT-00203,21888.325,844.4468,4.1591,20.4329,158.1374,68.2472,synthetic_prototype_v1
PLT-00204,50377.056,951.5629,3.7442,27.9249,284.545,82.5761,synthetic_prototype_v1
PLT-00205,31563.6769,663.9915,4.6196,25.0484,306.4118,126.0842,synthetic_prototype_v1
PLT-00206,56667.6089,922.7162,5.427,30.9328,222.1617,35.3574,synthetic_prototype_v1
PLT-00207,71984.0841,1145.4594,1.4778,21.3266,168.8273,21.7121,synthetic_prototype_v1
PLT-00208,44150.7075,807.8735,3.3849,22.9274,303.8502,124.6578,synthetic_prototype_v1
PLT-00209,41802.54,851.633,2.8168,29.8901,156.5122,102.4582,synthetic_prototype_v1
PLT-00210,8816.0551,1151.7762,7.3692,30.976,129.3976,20.7413,synthetic_prototype_v1
PLT-00211,78365.3323,547.5773,8.467,27.4925,176.0119,26.8004,synthetic_prototype_v1
PLT-00212,36330.2292,962.2172,5.3337,23.6178,386.1623,94.1829,synthetic_prototype_v1
PLT-00213,37448.1066,774.201,2.7664,23.5141,133.8047,126.1462,synthetic_prototype_v1
PLT-00214,15033.9819,1049.5052,0.6723,21.7032,261.0944,22.6434,synthetic_prototype_v1
PLT-00215,34814.3768,489.2171,9.9218,31.5989,263.6706,13.8634,synthetic_prototype_v1
PLT-00216,39709.9524,919.0199,3.9439,15.6532,302.5915,28.8138,synthetic_prototype_v1
PLT-00217,32930.7251,816.379,2.8294,26.8988,100.0381,131.0907,synthetic_prototype_v1
PLT-00218,42214.1237,963.714,3.6486,23.5148,377.976,100.57,synthetic_prototype_v1
PLT-00219,78635.4461,523.443,6.7661,39.5661,294.3681,19.4785,synthetic_prototype_v1
PLT-00220,38984.7982,991.8977,3.4439,21.1671,276.1868,72.0946,synthetic_prototype_v1
PLT-00221,6735.5071,757.7004,0.9783,23.7399,193.8979,23.0504,synthetic_prototype_v1
PLT-00222,33145.8605,1067.9555,6.0364,35.9498,263.8279,15.4991,synthetic_prototype_v1
PLT-00223,7460.75,834.4534,0.8501,28.352,298.1544,29.9653,synthetic_prototype_v1
PLT-00224,55124.8056,652.4294,4.7988,23.1342,243.2383,51.2676,synthetic_prototype_v1
PLT-00225,40626.6833,932.9737,1.7917,15.6067,91.8043,22.8648,synthetic_prototype_v1
PLT-00226,40076.3342,665.3088,3.5381,33.5118,128.1857,50.73,synthetic_prototype_v1
PLT-00227,52401.4377,681.8911,2.2403,32.0692,345.4483,37.5744,synthetic_prototype_v1
PLT-00228,38618.0475,1036.5669,3.653,22.8011,375.4804,78.8244,synthetic_prototype_v1
PLT-00229,79982.4003,814.0042,7.7674,33.1279,357.6991,16.7922,synthetic_prototype_v1
PLT-00230,25636.4394,647.3998,4.5792,18.3849,215.2812,49.3341,synthetic_prototype_v1
PLT-00231,11086.55,415.5249,8.4046,32.5539,374.2729,20.9383,synthetic_prototype_v1
PLT-00232,32834.0257,669.9975,4.7236,25.0867,398.2209,146.143,synthetic_prototype_v1
PLT-00233,31415.937,979.3534,3.5127,21.0063,314.5204,79.3812,synthetic_prototype_v1
PLT-00234,23622.0686,1119.6805,1.7884,26.2187,54.8898,29.0581,synthetic_prototype_v1
PLT-00235,12981.4649,463.6045,4.5769,30.935,153.0857,22.4543,synthetic_prototype_v1
PLT-00236,77142.3248,1096.5867,1.3793,22.6266,397.0453,21.3812,synthetic_prototype_v1
PLT-00237,66995.8613,510.0451,7.7063,32.1038,285.231,21.9992,synthetic_prototype_v1
PLT-00238,7638.1987,912.3,8.868,29.929,311.1054,21.7026,synthetic_prototype_v1
PLT-00239,29562.1673,523.9881,9.8206,38.4427,183.0911,13.253,synthetic_prototype_v1
PLT-00240,61424.6686,1054.2527,7.1863,16.4134,455.8795,16.2062,synthetic_prototype_v1
PLT-00241,12436.7728,751.8826,4.1911,22.2213,279.9183,55.7095,synthetic_prototype_v1
PLT-00242,38533.6659,776.1114,3.709,23.8927,387.3751,163.0156,synthetic_prototype_v1
PLT-00243,32294.189,954.846,4.064,27.9005,222.4247,117.3525,synthetic_prototype_v1
PLT-00244,31309.4701,779.3961,3.9683,27.6647,364.653,173.9304,synthetic_prototype_v1
PLT-00245,37064.2812,975.9287,2.4473,23.6746,427.6043,88.386,synthetic_prototype_v1
PLT-00246,29186.7831,492.8794,4.8295,31.2412,115.837,39.0034,synthetic_prototype_v1
PLT-00247,41984.8516,766.5149,2.1123,25.4681,253.3809,111.3028,synthetic_prototype_v1
PLT-00248,26092.5338,1095.7474,6.1586,23.9998,227.3235,34.2317,synthetic_prototype_v1
PLT-00249,55873.2956,1151.62,9.4496,28.5181,326.189,19.7108,synthetic_prototype_v1
PLT-00250,48807.3477,809.8312,1.3216,31.2905,457.9108,41.3977,synthetic_prototype_v1
PLT-00251,31092.5582,1062.5556,5.4487,35.6349,157.5893,17.8088,synthetic_prototype_v1
PLT-00252,68149.4908,604.1492,5.7297,22.904,318.1822,23.4092,synthetic_prototype_v1
PLT-00253,76703.4995,1092.1468,8.4855,23.423,350.4104,26.6308,synthetic_prototype_v1
PLT-00254,51636.637,721.71,3.1298,27.7037,346.919,85.0876,synthetic_prototype_v1
PLT-00255,25972.7247,508.822,7.0634,15.6668,460.1401,17.5129,synthetic_prototype_v1
PLT-00256,45025.1072,776.5846,2.6913,25.7738,205.1372,107.1762,synthetic_prototype_v1
PLT-00257,32315.4864,741.4005,3.6552,29.2432,329.49,143.0203,synthetic_prototype_v1
PLT-00258,55828.1461,484.6516,5.1842,28.1291,83.7751,28.3243,synthetic_prototype_v1
PLT-00259,40122.0601,660.6919,0.5,25.8641,448.4275,48.1179,synthetic_prototype_v1
PLT-00260,26745.6185,534.2364,1.4534,22.927,433.4223,38.2398,synthetic_prototype_v1
PLT-00261,73647.407,786.7749,6.2702,34.8396,87.2935,16.8858,synthetic_prototype_v1
PLT-00262,67207.1461,1029.5529,1.7271,19.2584,364.1249,23.3323,synthetic_prototype_v1
PLT-00263,44856.0359,1068.4104,1.8864,33.4451,104.1949,27.2025,synthetic_prototype_v1
PLT-00264,13551.4394,589.0988,2.4579,30.8773,300.6928,34.7218,synthetic_prototype_v1
PLT-00265,19893.7748,1062.1925,8.6353,29.0053,433.0978,24.2716,synthetic_prototype_v1
PLT-00266,27919.4084,994.8455,5.433,30.6225,439.6363,55.8659,synthetic_prototype_v1
PLT-00267,31881.5365,825.2823,1.8345,27.9748,431.2124,102.2737,synthetic_prototype_v1
PLT-00268,47713.0112,737.1139,2.4605,28.1621,300.9744,87.5367,synthetic_prototype_v1
PLT-00269,41145.0198,709.2401,4.4111,21.0533,386.9489,102.4281,synthetic_prototype_v1
PLT-00270,31461.8415,465.5519,3.7916,27.6021,445.4393,57.3592,synthetic_prototype_v1
PLT-00271,40559.9506,564.2079,1.1635,25.0275,284.4526,46.7578,synthetic_prototype_v1
PLT-00272,29532.2417,771.0433,5.8252,26.2017,398.2619,121.2131,synthetic_prototype_v1
PLT-00273,78878.5023,432.3992,5.5334,28.3593,112.1427,20.697,synthetic_prototype_v1
PLT-00274,55928.8667,528.9538,9.9191,39.1603,445.9395,11.971,synthetic_prototype_v1
PLT-00275,54825.8651,552.0766,9.5177,19.4283,179.7436,13.3231,synthetic_prototype_v1
PLT-00276,39948.8865,814.3029,6.7898,30.5978,340.1476,57.3395,synthetic_prototype_v1
PLT-00277,68450.5671,527.7908,7.1084,34.8118,279.0763,19.8288,synthetic_prototype_v1
PLT-00278,34651.3675,828.1076,2.8518,26.685,167.9484,146.1317,synthetic_prototype_v1
PLT-00279,22305.9729,499.6882,5.1937,38.8484,338.8666,15.3356,synthetic_prototype_v1
