experiment_id,cell_thickness_nm,doping_concentration,annealing_temperature_c,light_intensity_lux,operating_temperature_c,energy_conversion_efficiency,source
SOL-00049,275.6506,8.480301500116923e+16,612.7068,56217.3676,61.9285,8.0,synthetic_prototype_v1
SOL-00050,117.0391,7373163256445535.0,689.4319,92411.6651,41.1779,17.6847,synthetic_prototype_v1
SOL-00051,218.6841,1773408021767276.5,867.911,38423.5379,16.2781,9.6148,synthetic_prototype_v1
SOL-00052,121.8139,1.7371531763529894e+17,653.9208,61695.7051,35.2111,16.4232,synthetic_prototype_v1
SOL-00053,141.5981,2.3374478064374508e+16,544.0642,32686.6118,51.8808,10.8305,synthetic_prototype_v1
SOL-00054,182.1644,6.930775206918369e+16,634.9092,114972.5827,57.5649,16.4814,synthetic_prototype_v1
SOL-00055,64.5271,3678580259135186.5,746.5228,95694.8849,71.6533,8.0,synthetic_prototype_v1
SOL-00056,195.2473,4.93047337016156e+16,842.4633,89372.1572,33.3835,12.9456,synthetic_prototype_v1
SOL-00057,134.754,6.0372557520059624e+16,833.003,77686.1498,35.086,14.6908,synthetic_prototype_v1
SOL-00058,293.9744,3289286326542333.0,602.6467,58080.9706,42.989,14.7749,synthetic_prototype_v1
SOL-00059,136.6797,6.012371069205049e+16,622.2076,46876.6163,30.6763,18.6088,synthetic_prototype_v1
SOL-00060,136.0252,4.708645128153224e+16,758.3401,48522.6075,17.6209,18.9679,synthetic_prototype_v1
SOL-00061,99.6455,2.5052433551807622e+17,794.855,95728.8617,18.8214,13.1669,synthetic_prototype_v1
SOL-00062,233.7824,2.838917536962795e+16,546.6584,56323.8179,72.7095,8.0,synthetic_prototype_v1
SOL-00063,80.5724,3.2555989897046804e+16,580.6224,72174.1895,23.9615,13.3745,synthetic_prototype_v1
SOL-00064,200.9013,4.6356716255443704e+16,751.0718,77819.5396,42.3794,13.8721,synthetic_prototype_v1
SOL-00065,202.6305,2.1199171274502664e+16,804.8921,34995.6949,71.0272,8.2455,synthetic_prototype_v1
SOL-00066,142.7281,4.777146251459436e+16,891.6921,44487.0645,42.4255,12.5548,synthetic_prototype_v1
SOL-00067,158.1913,5.071206107477269e+16,700.0861,59704.122,18.3772,22.695,synthetic_prototype_v1
SOL-00068,245.5013,1.7787393354037002e+16,790.7603,102531.0379,22.1948,10.8741,synthetic_prototype_v1
SOL-00069,296.8282,8.536407655238782e+16,565.1829,41633.881,60.0498,8.8158,synthetic_prototype_v1
SOL-00070,160.8535,6507492237116247.0,661.8973,75407.1097,33.5803,21.0411,synthetic_prototype_v1
SOL-00071,150.3162,1215230319701991.2,795.5372,111670.0391,40.0351,14.4325,synthetic_prototype_v1
SOL-00072,213.4476,2.1200158511070454e+17,627.2863,97912.4288,32.8482,14.1993,synthetic_prototype_v1
SOL-00073,119.7342,9.520487506504347e+16,673.9449,56349.3437,18.7296,17.8496,synthetic_prototype_v1
SOL-00074,82.0284,9.957650929828544e+16,529.1845,114507.9385,53.8313,10.3408,synthetic_prototype_v1
SOL-00075,221.1405,3.126969470092319e+16,791.6964,102521.3564,28.714,15.4365,synthetic_prototype_v1
SOL-00076,150.5371,2.4336687505803485e+17,736.5259,92770.9225,35.0331,15.8572,synthetic_prototype_v1
SOL-00077,142.8064,1.642929505831967e+16,723.0138,67610.9375,29.7664,23.0,synthetic_prototype_v1
SOL-00078,98.7811,2.764901552724769e+16,751.2924,57400.3508,42.1756,15.7695,synthetic_prototype_v1
SOL-00079,221.5241,4.434693385281288e+16,503.7743,112459.2553,73.1268,8.0655,synthetic_prototype_v1
SOL-00080,150.4154,1.2539237578956853e+17,746.7893,69124.0897,42.0762,17.3988,synthetic_prototype_v1
SOL-00081,171.4772,1.7785906349456958e+16,776.3162,68205.2137,21.3844,17.9139,synthetic_prototype_v1
SOL-00082,91.4767,2.1415152177567818e+17,865.6242,60026.8552,37.6129,9.0986,synthetic_prototype_v1
SOL-00083,167.2513,7.0969007305384e+16,854.39,76053.7233,21.4515,15.0796,synthetic_prototype_v1
SOL-00084,93.236,5690257570407320.0,841.6589,94520.9362,53.729,11.8417,synthetic_prototype_v1
SOL-00085,179.0692,9.46873129633015e+16,750.7415,58077.8103,19.9884,19.9478,synthetic_prototype_v1
SOL-00086,231.2958,1.1908890317010104e+17,844.4949,62691.4002,24.9343,11.2883,synthetic_prototype_v1
SOL-00087,131.6709,1.2550394205646485e+17,662.3625,51006.1489,15.688,17.724,synthetic_prototype_v1
SOL-00088,186.4496,2.1168971419978547e+17,887.0208,63778.3838,19.212,12.8168,synthetic_prototype_v1
SOL-00089,174.4996,7245628723170194.0,568.9458,58314.8872,53.9414,9.1155,synthetic_prototype_v1
SOL-00090,206.0746,1771235041015145.5,742.8286,92780.2534,26.1753,15.2504,synthetic_prototype_v1
SOL-00091,140.3998,2.4513196402598256e+17,505.0141,24904.9187,56.7325,10.0297,synthetic_prototype_v1
SOL-00092,87.5324,1.3929017484487498e+17,857.3503,94448.3207,39.3251,12.424,synthetic_prototype_v1
SOL-00093,107.815,5.06471602227846e+16,653.6127,94681.1513,19.2677,20.3476,synthetic_prototype_v1
SOL-00094,129.5998,6.816932560297766e+17,651.206,63791.5857,45.1006,14.2726,synthetic_prototype_v1
SOL-00095,134.934,1.546880494380641e+17,721.545,23515.5312,60.8267,11.9313,synthetic_prototype_v1
SOL-00096,84.4994,1.5516625802041056e+17,712.5997,73534.7298,74.1636,9.713,synthetic_prototype_v1
SOL-00097,174.1044,4503102947180734.0,887.59,80920.016,20.6786,11.6817,synthetic_prototype_v1
SOL-00098,146.1429,4.7769722629306904e+16,720.0062,42051.2808,28.153,21.6754,synthetic_prototype_v1
SOL-00099,125.7412,2.061011161903505e+16,810.9571,54701.9289,19.9699,14.5355,synthetic_prototype_v1
SOL-00100,131.4563,4.605587387687957e+17,662.3778,29011.8244,31.971,12.849,synthetic_prototype_v1
SOL-00101,125.3357,4.4506966677188346e+17,552.0186,113965.2921,27.4832,12.9472,synthetic_prototype_v1
SOL-00102,259.1602,6.014158956635258e+17,518.1141,104859.032,71.0539,8.3258,synthetic_prototype_v1
SOL-00103,59.8809,2.7715603299901176e+16,797.5105,86041.6179,63.4087,8.0,synthetic_prototype_v1
SOL-00104,257.4474,2.166688099608738e+16,671.1404,71028.7269,25.4649,13.3681,synthetic_prototype_v1
SOL-00105,142.8447,1.0090872416951922e+17,756.3334,75327.9677,29.8172,19.304,synthetic_prototype_v1
SOL-00106,57.2499,6852012678769038.0,750.8504,43710.3852,21.0865,16.3789,synthetic_prototype_v1
SOL-00107,142.6149,7.770624227576654e+16,662.0107,89317.7119,44.6622,18.3581,synthetic_prototype_v1
SOL-00108,243.0031,4465810748116759.5,595.1946,96831.7235,40.8683,10.3934,synthetic_prototype_v1
SOL-00109,66.1448,1.0809817596991592e+16,712.2233,95982.8716,29.2643,15.8868,synthetic_prototype_v1
SOL-00110,68.165,1.2623889105281818e+16,667.9537,45333.2032,37.9541,14.9425,synthetic_prototype_v1
SOL-00111,60.6894,2089203480460601.0,704.2861,43574.2534,22.4725,14.1216,synthetic_prototype_v1
SOL-00112,240.7548,1011329190987417.0,899.704,52092.718,42.7041,12.9219,synthetic_prototype_v1
SOL-00113,109.4935,2.4800480383502196e+16,734.0863,63146.4286,27.6979,21.8985,synthetic_prototype_v1
SOL-00114,179.7287,1102259717852066.9,874.5804,23428.5734,41.9726,11.9427,synthetic_prototype_v1
SOL-00115,140.1897,9.075783918949918e+16,835.1919,56483.629,39.3071,14.5359,synthetic_prototype_v1
SOL-00116,135.4372,5.003861514057194e+16,661.5413,85648.6617,32.574,20.8786,synthetic_prototype_v1
SOL-00117,158.2431,2.0049652381213736e+16,503.7338,56568.3203,48.0225,13.7861,synthetic_prototype_v1
SOL-00118,176.0447,2.383830109929145e+17,613.7195,49811.9026,63.3631,9.2209,synthetic_prototype_v1
SOL-00119,84.2053,7.569089795931574e+17,754.8434,64811.8409,72.8469,8.2314,synthetic_prototype_v1
SOL-00120,132.9063,1.554334371976578e+16,703.322,56291.8715,24.1922,23.0,synthetic_prototype_v1
SOL-00121,235.9987,1.986553290683102e+17,789.414,87447.1435,39.5326,12.7255,synthetic_prototype_v1
SOL-00122,275.0695,8.035700608616112e+16,666.9344,93958.9926,54.4152,14.171,synthetic_prototype_v1
SOL-00123,282.5008,5.28551987966615e+17,819.4915,118303.8871,60.3794,8.0,synthetic_prototype_v1
SOL-00124,131.2739,1.3739161199148068e+16,700.3669,77004.8577,24.9991,19.9375,synthetic_prototype_v1
SOL-00125,195.636,1.2881362279648332e+16,808.6743,95554.5148,30.891,13.9868,synthetic_prototype_v1
SOL-00126,50.9735,1455034407328523.8,651.5719,96342.6535,38.6666,11.457,synthetic_prototype_v1
SOL-00127,227.5042,1.5511050272715494e+17,653.0517,79777.4862,38.2882,12.4645,synthetic_prototype_v1
SOL-00128,223.023,2.7099370331932344e+16,791.4601,60104.9228,15.0,14.3315,synthetic_prototype_v1
SOL-00129,213.2305,1805813614899965.5,847.5207,75048.5603,41.5777,9.1131,synthetic_prototype_v1
SOL-00130,74.2025,7.270255436854333e+17,779.725,37118.4616,37.6243,10.0393,synthetic_prototype_v1
SOL-00131,126.3696,1.2862393578826107e+17,689.4896,41167.6384,29.5351,20.4233,synthetic_prototype_v1
SOL-00132,123.0279,1.319423219875295e+16,725.4868,82250.0483,36.0617,22.9623,synthetic_prototype_v1
SOL-00133,212.8337,4426612463095181.5,585.541,101976.2079,32.7116,15.2834,synthetic_prototype_v1
SOL-00134,214.9775,4245217406753033.5,833.8254,98726.7818,29.4391,9.6138,synthetic_prototype_v1
SOL-00135,142.8858,6.45080598411714e+16,505.9902,33810.9761,69.2586,9.174,synthetic_prototype_v1
SOL-00136,231.4252,6.723509938093254e+16,522.0903,92437.7498,65.3101,8.3743,synthetic_prototype_v1
SOL-00137,125.4718,3.767874603788137e+16,754.5627,59784.7322,23.5771,23.0,synthetic_prototype_v1
SOL-00138,141.2176,4.3048652536529144e+16,664.8919,61741.7835,25.5682,21.8266,synthetic_prototype_v1
SOL-00139,205.0894,6.242863779704234e+17,658.4587,99575.4787,69.5429,8.0,synthetic_prototype_v1
SOL-00140,182.9032,4.2808114455645824e+17,785.7198,89856.1947,61.3369,8.0,synthetic_prototype_v1
SOL-00141,263.4075,1.6805937369072208e+17,768.5122,109754.8438,22.8477,9.4655,synthetic_prototype_v1
SOL-00142,161.5182,5.194682040204086e+17,779.9785,59031.3671,20.391,14.0682,synthetic_prototype_v1
SOL-00143,295.2053,3.601949212913051e+17,776.7438,63130.4331,30.9315,13.6826,synthetic_prototype_v1
SOL-00144,62.2409,5.721102079631188e+17,608.2943,52149.3003,59.3178,11.0364,synthetic_prototype_v1
SOL-00145,245.3235,5427055233193447.0,858.9135,45914.6516,50.6704,10.5262,synthetic_prototype_v1
SOL-00146,225.5005,4.211816705551419e+17,718.2563,94286.2221,32.4981,12.3821,synthetic_prototype_v1
SOL-00147,174.65,3.85012915403613e+17,731.058,118737.1498,36.0007,14.1496,synthetic_prototype_v1
SOL-00148,88.0817,4572407847314869.0,574.4017,41249.5605,25.3608,12.8424,synthetic_prototype_v1
SOL-00149,53.5312,5.0209692437869064e+16,624.5549,52683.4675,45.5589,13.456,synthetic_prototype_v1
SOL-00150,113.4204,5488287586038047.0,767.2806,42443.2737,29.0545,15.6302,synthetic_prototype_v1
SOL-00151,186.8207,3.0583757733783264e+17,546.2315,60399.6583,46.8834,8.7547,synthetic_prototype_v1
SOL-00152,179.9384,3.2900391171333604e+16,660.6284,55415.8926,61.4964,9.1428,synthetic_prototype_v1
SOL-00153,63.8489,7.317710422155315e+16,753.0285,62430.4367,26.756,15.3343,synthetic_prototype_v1
SOL-00154,67.2845,1445616002357162.5,653.4208,102539.2883,25.2469,14.385,synthetic_prototype_v1
SOL-00155,150.7535,3.972094572117388e+16,664.193,94482.7519,15.0,23.0,synthetic_prototype_v1
SOL-00156,193.1828,2.7608312753875494e+17,698.7492,85230.1063,17.4693,16.7388,synthetic_prototype_v1
SOL-00157,54.9416,1430261165823855.5,566.8153,97879.0808,31.8645,11.5563,synthetic_prototype_v1
SOL-00158,118.5947,6.270385680784276e+16,740.1224,41854.4838,15.0,20.5053,synthetic_prototype_v1
SOL-00159,206.6691,8039408708331157.0,591.6632,78780.4205,23.2343,11.7188,synthetic_prototype_v1
SOL-00160,139.8011,1.292139560895978e+17,828.4767,50481.4411,44.7252,12.5015,synthetic_prototype_v1
SOL-00161,192.6053,6980462369132567.0,698.7808,70396.0867,35.0065,18.0094,synthetic_prototype_v1
SOL-00162,189.6064,5.986596018389417e+16,543.3081,82302.0831,18.8449,15.6944,synthetic_prototype_v1
SOL-00163,297.273,1.209785515458708e+16,841.6963,51788.2616,37.8909,10.5039,synthetic_prototype_v1
SOL-00164,157.0982,7.81779781038065e+16,633.454,75696.2624,61.8384,9.7297,synthetic_prototype_v1
SOL-00165,65.9543,3.825238388837419e+17,515.1464,85932.7678,20.0138,14.0835,synthetic_prototype_v1
SOL-00166,204.8807,4.8020217557253704e+16,718.2212,99381.0316,35.9158,18.507,synthetic_prototype_v1
SOL-00167,239.4776,5.049732240963e+16,507.2027,64874.1399,19.7497,12.7466,synthetic_prototype_v1
SOL-00168,59.8901,5.903473547155587e+16,888.3331,61287.1816,34.6431,10.5555,synthetic_prototype_v1
SOL-00169,76.4744,1.618312137681769e+17,740.4002,79173.7424,51.4357,12.9921,synthetic_prototype_v1
SOL-00170,247.6845,2.5433460222733187e+17,782.5959,41945.6234,40.8373,14.1595,synthetic_prototype_v1
SOL-00171,188.5998,3.528404066712199e+16,839.6614,33151.3927,26.9978,16.325,synthetic_prototype_v1
SOL-00172,187.2861,1388099162845855.5,616.4393,61506.0802,72.7271,8.0,synthetic_prototype_v1
SOL-00173,122.4468,3.6877093989111016e+16,686.5754,69455.8606,19.9041,21.9596,synthetic_prototype_v1
SOL-00174,86.2826,2.116914029959891e+16,506.1587,28349.2378,60.7427,8.0,synthetic_prototype_v1
SOL-00175,141.8891,1.041152079686968e+16,726.1956,79987.1391,35.8493,20.303,synthetic_prototype_v1
SOL-00176,277.1521,1.5455373394935298e+16,771.1552,71276.3631,29.756,15.3556,synthetic_prototype_v1
SOL-00177,287.5004,4487406435862811.0,839.4931,94252.1093,47.0749,13.1585,synthetic_prototype_v1
SOL-00178,124.2191,1268857872320376.5,558.2331,59713.9446,16.0542,15.3879,synthetic_prototype_v1
SOL-00179,247.5608,2295393489316508.5,516.2433,51581.2772,29.7746,11.1701,synthetic_prototype_v1
SOL-00180,238.8797,1.2113512746895141e+17,704.01,98594.8964,29.0744,13.8455,synthetic_prototype_v1
SOL-00181,210.3868,4.739059924494747e+16,711.2924,111016.0532,23.7458,17.9532,synthetic_prototype_v1
SOL-00182,255.5534,1.969875800736148e+17,523.5159,106619.1608,24.2041,12.7504,synthetic_prototype_v1
SOL-00183,73.0089,2.3157951722150436e+16,728.6965,86640.2982,15.0,15.7359,synthetic_prototype_v1
SOL-00184,191.9836,5811888479198064.0,896.4427,62449.7891,54.3682,9.9085,synthetic_prototype_v1
SOL-00185,152.7901,1.345819198536614e+17,765.9765,65510.8455,26.1944,18.55,synthetic_prototype_v1
SOL-00186,134.2299,2603011218207723.5,688.0507,44767.0582,24.9711,16.4922,synthetic_prototype_v1
SOL-00187,163.0775,1.0728663642456334e+16,696.5413,79098.7741,28.0403,22.5292,synthetic_prototype_v1
SOL-00188,287.4628,1.6612638935985712e+17,553.6823,31052.6189,41.3584,13.3946,synthetic_prototype_v1
SOL-00189,124.7359,8438115497031277.0,705.4874,109262.271,30.3772,19.1248,synthetic_prototype_v1
SOL-00190,277.5817,2989441693923545.5,760.3544,108210.4963,28.3778,11.9884,synthetic_prototype_v1
SOL-00191,110.0622,2791640619310471.5,630.8079,109128.7222,27.1573,13.4806,synthetic_prototype_v1
SOL-00192,183.1518,1.6117403695847933e+17,675.3678,77716.6064,24.3802,17.4302,synthetic_prototype_v1
SOL-00193,131.914,7.001087451294392e+16,694.4974,87268.4399,18.9309,21.0889,synthetic_prototype_v1
SOL-00194,245.7263,7069769088184543.0,534.0887,47372.6624,57.0182,11.0412,synthetic_prototype_v1
SOL-00195,243.727,3.929022505970047e+16,609.627,29364.2805,66.4783,8.0,synthetic_prototype_v1
SOL-00196,104.7973,1.8795905352541942e+17,616.5561,91686.8744,54.8631,12.5318,synthetic_prototype_v1
SOL-00197,113.2198,5.215144357890332e+17,691.9166,72612.794,44.5745,12.5013,synthetic_prototype_v1
SOL-00198,118.981,9.296505275901757e+17,556.5038,33432.8546,33.1161,12.7414,synthetic_prototype_v1
SOL-00199,244.8694,7.39970677866218e+16,509.4112,65211.9792,67.7008,8.7421,synthetic_prototype_v1
SOL-00200,145.2553,9.137633680866991e+17,767.2666,34968.9224,41.3235,14.314,synthetic_prototype_v1
SOL-00201,251.4432,1353863407675604.8,858.9287,90166.2102,53.1458,9.239,synthetic_prototype_v1
SOL-00202,130.4202,3.2685042539817948e+16,664.4289,81524.3762,34.6645,22.1107,synthetic_prototype_v1
SOL-00203,106.2944,4.641682201604002e+16,654.0688,41731.6312,29.4183,18.6914,synthetic_prototype_v1
SOL-00204,211.5082,1.3536683922644646e+17,689.3416,58416.8989,24.2563,13.4519,synthetic_prototype_v1
SOL-00205,136.2547,8576258247548676.0,725.8184,48507.9513,23.3092,19.3853,synthetic_prototype_v1
SOL-00206,222.2254,9.124006763100851e+16,707.4531,83731.0183,37.9549,13.9908,synthetic_prototype_v1
SOL-00207,273.2803,6.24414345869595e+17,541.1725,45306.4132,30.8436,12.9026,synthetic_prototype_v1
SOL-00208,186.6028,3.4104064311576596e+16,674.3707,91942.3616,31.6756,22.1424,synthetic_prototype_v1
SOL-00209,177.2102,5.189645399835793e+16,650.7011,68503.1608,19.5514,20.21,synthetic_prototype_v1
SOL-00210,62.7202,6.594179183888659e+17,789.2284,83903.8877,25.5863,11.9107,synthetic_prototype_v1
SOL-00211,294.5511,3576141977614345.0,835.452,69970.186,31.8016,11.8433,synthetic_prototype_v1
SOL-00212,155.3209,1.499356793769452e+17,755.5726,56140.6698,15.0,15.533,synthetic_prototype_v1
SOL-00213,159.7924,2.468903497457715e+16,648.6004,87635.3441,31.7039,22.0101,synthetic_prototype_v1
SOL-00214,83.4466,2.726744853559591e+17,507.2531,46812.7288,43.1459,13.031,synthetic_prototype_v1
SOL-00215,149.3813,2160548560263808.0,896.7081,86395.7245,43.4894,9.2968,synthetic_prototype_v1
SOL-00216,165.6998,8.837404051699886e+16,645.0076,22612.7116,48.6789,14.8725,synthetic_prototype_v1
SOL-00217,141.7229,3.700377205374201e+16,651.2264,60959.3807,38.5452,19.6625,synthetic_prototype_v1
SOL-00218,178.8565,1.521042947769457e+17,685.3591,77132.0224,29.9551,18.3154,synthetic_prototype_v1
SOL-00219,295.4515,2903428637908448.5,763.8361,118264.4752,47.5824,9.9383,synthetic_prototype_v1
SOL-00220,165.9392,1.993305165681204e+17,676.8289,58627.264,24.4692,17.0883,synthetic_prototype_v1
SOL-00221,55.785,2.1947075149815664e+16,520.1383,54959.7912,34.1864,11.0636,synthetic_prototype_v1
SOL-00222,143.8195,3.1976670216212563e+17,733.1128,103799.2406,43.5104,15.3555,synthetic_prototype_v1
SOL-00223,58.2025,4.257945366549956e+16,514.7406,73408.0011,48.0873,10.8089,synthetic_prototype_v1
SOL-00224,217.0827,8843216095755730.0,681.0034,52536.8773,40.7651,17.8478,synthetic_prototype_v1
SOL-00225,168.7556,9.968997702665536e+16,554.3878,22426.6988,20.5739,13.1832,synthetic_prototype_v1
SOL-00226,170.3053,8685338139310919.0,680.7542,97771.4389,15.0,18.641,synthetic_prototype_v1
SOL-00227,219.6058,1.0183085828746284e+16,626.6811,41213.2055,28.5988,12.357,synthetic_prototype_v1
SOL-00228,162.0602,2.438517442310382e+17,632.7577,51204.5283,58.3974,8.0,synthetic_prototype_v1
SOL-00229,299.9413,3.568746775436885e+16,805.9949,92511.4316,56.0266,8.4429,synthetic_prototype_v1
SOL-00230,118.7881,8467382505044917.0,671.7569,33539.6812,37.0375,16.7205,synthetic_prototype_v1
SOL-00231,70.2885,1143453350770234.2,832.8274,90215.6995,58.2364,8.0,synthetic_prototype_v1
SOL-00232,141.3361,9084960030278970.0,730.15,86392.2033,25.2563,20.4786,synthetic_prototype_v1
SOL-00233,138.0531,1.4879046644448557e+17,626.8511,44025.1994,50.2694,14.1935,synthetic_prototype_v1
SOL-00234,112.0736,4.998065832163809e+17,554.2505,64874.6234,15.652,14.7463,synthetic_prototype_v1
SOL-00235,76.6049,1731875582818747.0,671.6607,83739.9759,28.7448,16.3003,synthetic_prototype_v1
SOL-00236,290.4744,4.094492877239384e+17,537.0236,50506.4816,61.2727,8.6559,synthetic_prototype_v1
SOL-00237,256.6529,2586241298514739.5,803.4217,88415.1937,46.3641,14.1165,synthetic_prototype_v1
SOL-00238,58.794,8.339212290193694e+16,852.3386,79715.8087,49.8141,12.0199,synthetic_prototype_v1
SOL-00239,131.8739,2917128325562869.0,892.4448,113770.6942,32.7455,8.4554,synthetic_prototype_v1
SOL-00240,238.0822,2.8408465895638125e+17,781.5271,25653.6902,69.1173,8.0,synthetic_prototype_v1
SOL-00241,74.7892,2.0871799865722116e+16,655.4142,48885.292,45.6558,14.6611,synthetic_prototype_v1
SOL-00242,164.1347,2.5145727566249148e+16,687.8745,94342.995,39.5067,23.0,synthetic_prototype_v1
SOL-00243,139.1768,1.3969843162794054e+17,702.6673,88069.3945,32.1136,19.4919,synthetic_prototype_v1
SOL-00244,135.2379,2.595078408741436e+16,698.6807,94220.0838,25.5619,22.5581,synthetic_prototype_v1
SOL-00245,158.2571,1.710157630263652e+17,635.3031,74050.308,32.7212,16.7393,synthetic_prototype_v1
SOL-00246,130.6226,2229964368388268.0,682.2963,84964.8907,23.7783,16.1628,synthetic_prototype_v1
SOL-00247,177.9394,2.2933947617480332e+16,621.3442,66394.2002,18.3398,18.7919,synthetic_prototype_v1
SOL-00248,120.3084,4.0649282766743366e+17,738.255,55999.2795,38.6431,16.4632,synthetic_prototype_v1
SOL-00249,219.5777,6.585293259444241e+17,876.8271,74072.2561,51.8252,8.0,synthetic_prototype_v1
SOL-00250,196.0245,3.442445934223877e+16,534.5937,85161.9187,69.3881,8.0,synthetic_prototype_v1
SOL-00251,136.9752,3.05199207180729e+17,708.368,102539.6872,29.3452,17.3323,synthetic_prototype_v1
